tax	hdz-230-s277	hdz-231-s278	hdz-232-s279	hdz-233-s280	hdz-234-s281	hdz-235-s282	hdz-236-s283	hdz-374-s284	hdz-375-s285	hdz-376-s286	hdz-377-s287	hdz-378-s288	hdz-379-s289	hdz-380-s290	hdz-422-s291	hdz-430-s292	hdz-440-s293	hdz-442-s294	hdz-443-s295	hdz-444-s296	hdz-445-s297	hdz-448-s298	hdz-449-s299	pl-ntc-013-ctrl	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	14	7	0	9	4	3	7	4	1	1	44	13	76	10	0	0	9	0	4	0	0	1	17	0	224
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium pacaense	10	12	6	10	6	13	10	0	3	7	11	16	61	11	0	0	5	0	22	0	0	4	13	0	220
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	34	5	2	30	1	7	5	9	2	0	59	11	10	17	0	0	2	0	8	0	2	7	1	1	213
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Metaprevotella;Metaprevotella massiliensis	11	10	6	9	11	14	14	1	8	12	8	12	1	3	0	7	5	17	1	2	35	7	17	1	212
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	5	4	21	6	14	13	2	1	3	12	15	6	22	23	3	0	10	0	14	0	1	19	13	0	207
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fragi	0	0	1	0	0	4	0	2	1	1	49	51	32	6	2	2	21	0	10	0	0	10	6	0	198
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis	5	15	5	7	3	16	6	3	3	3	13	10	33	19	1	0	11	0	17	0	0	15	12	0	197
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ruthenibacterium;Ruthenibacterium lactatiformans	0	1	5	0	0	0	0	2	0	0	0	0	97	29	0	0	7	0	31	0	0	9	13	0	194
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Eisenbergiella;Eisenbergiella porci	0	0	0	0	0	1	0	0	0	0	0	0	137	21	1	0	2	0	20	0	0	1	9	0	192
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	1	1	0	0	1	0	2	2	0	0	0	1	95	19	0	0	27	0	26	0	0	6	8	0	189
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	3	4	1	2	0	0	0	2	0	4	5	1	73	27	0	3	8	0	15	0	7	3	26	0	184
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia caecimuris	26	3	15	3	1	9	16	0	3	0	10	0	46	12	1	0	8	0	12	0	0	2	2	0	169
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerotignum;Anaerotignum aminivorans	0	0	0	0	1	0	0	9	0	0	0	0	53	33	0	0	13	0	15	0	17	8	16	0	165
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Emergencia;Emergencia timonensis	4	16	0	4	2	2	3	10	0	1	4	1	37	27	0	0	10	0	25	0	0	4	11	1	162
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter oryzae	0	0	156	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium phoceensis	2	0	0	0	1	0	0	7	0	2	1	0	24	29	0	0	19	0	21	0	0	21	30	0	157
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis	0	0	0	0	0	0	0	0	0	0	0	0	137	11	0	0	0	0	4	0	0	0	0	1	153
Bacteria;Bacteria_none;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Bullifex;Bullifex porci	0	0	3	0	0	0	0	17	0	1	0	0	50	25	0	0	3	0	9	0	0	12	31	0	151
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	5	13	3	3	0	6	0	2	3	1	4	0	72	25	0	0	3	0	2	0	0	2	2	0	146
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	8	8	2	8	1	3	7	0	3	3	12	30	7	11	0	0	6	0	7	0	0	8	19	0	143
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	7	0	11	10	0	1	5	10	0	1	22	2	12	30	0	1	1	0	10	1	2	13	4	0	143
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	0	1	1	0	0	0	0	0	0	0	0	0	28	3	0	26	4	2	7	0	51	3	11	0	137
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus mirabilis	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	11	0	0	13	43	54	0	5	0	133
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Psychrobacter;Psychrobacter pulmonis	0	0	32	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	130
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella loescheii	10	7	3	5	4	9	10	1	1	6	8	5	0	0	0	3	3	15	3	1	21	5	9	0	129
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	12	11	3	5	2	11	12	2	2	5	11	8	0	3	2	0	8	9	5	2	4	3	1	0	121
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter lwoffii	0	0	105	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	8	0	120
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella;Morganella morganii	1	0	0	0	0	0	0	0	1	0	4	0	0	0	1	34	21	0	4	32	3	0	14	0	115
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas bubulae	1	0	0	0	1	3	0	1	7	0	0	35	5	3	15	4	11	0	5	1	0	20	0	0	112
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Ihubacter;Ihubacter massiliensis	0	1	0	0	0	0	0	8	0	0	1	0	60	18	0	0	2	0	9	0	0	3	4	1	107
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter amalonaticus	0	0	30	1	0	0	0	0	0	1	0	0	0	0	0	16	8	0	2	31	3	0	10	0	102
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	0	2	0	0	1	0	0	1	17	0	0	61	0	1	0	0	0	0	0	0	14	0	3	0	100
Bacteria;Bacteria_none;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium varium	0	0	29	0	0	0	0	0	2	0	0	0	6	0	0	0	1	0	2	0	57	2	1	0	100
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Evtepia;Evtepia gabavorous	0	0	0	0	0	0	0	6	0	0	0	0	24	31	0	0	7	0	7	0	0	17	6	0	98
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	7	2	3	7	1	11	7	0	2	7	3	4	0	5	1	3	9	5	3	1	5	5	7	0	98
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	2	3	9	1	1	7	2	2	1	2	1	2	12	8	0	0	6	0	12	0	0	8	15	0	94
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium;Carnobacterium mobile	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	94
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium callanderi	9	0	0	4	2	3	2	3	1	0	5	2	34	9	0	0	5	0	5	0	0	4	3	0	91
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Secundilactobacillus;Secundilactobacillus mixtipabuli	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	8	0	0	9	68	0	0	0	0	88
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Jeotgalibaca;Jeotgalibaca arthritidis	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus hirae	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	21	0	4	1	55	0	0	5	0	87
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus asini	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	32	0	5	2	42	2	0	0	0	84
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	2	7	10	0	2	4	0	0	3	2	6	2	9	6	1	0	5	0	9	0	0	11	1	0	80
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia;Providencia rettgeri	7	7	1	0	0	2	1	0	0	0	1	0	0	0	0	1	12	0	5	37	0	0	6	0	80
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	2	0	0	1	0	0	2	0	3	0	1	6	0	0	0	13	0	7	1	26	13	1	1	0	77
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea stewartii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	74
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus avium	0	2	4	2	0	0	1	0	1	1	0	4	1	0	0	2	6	2	1	15	0	27	2	0	71
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	7	9	4	4	2	3	5	2	2	0	6	8	1	6	1	0	3	0	1	0	0	2	4	0	70
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter massiliensis	0	0	5	0	0	0	0	1	0	0	0	0	41	8	0	0	0	0	10	0	0	1	3	0	69
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Diplocloster;Diplocloster agilis	0	0	0	0	0	0	0	1	0	0	0	0	48	3	1	0	3	0	11	0	0	0	1	0	68
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Anaerotruncus;Anaerotruncus colihominis	0	1	0	0	0	0	0	1	0	0	0	0	34	3	0	0	5	0	15	0	0	5	2	0	66
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Millionella;Millionella massiliensis	5	4	1	0	0	1	2	0	1	3	1	3	2	1	0	0	1	17	1	0	13	1	8	0	65
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerotignum;Anaerotignum faecicola	0	0	14	0	0	0	0	0	0	1	0	0	8	9	0	0	5	0	12	0	0	2	12	0	63
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Christensenellaceae;Christensenella;Christensenella minuta	0	1	0	1	1	0	0	3	0	1	0	0	13	13	0	0	20	0	6	0	0	3	0	0	62
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Angelakisella;Angelakisella massiliensis	0	0	0	0	0	0	0	4	0	0	0	0	8	38	0	0	7	0	3	0	0	0	2	0	62
