plate,genus,receptor,treat_type,treat_subtype,treat,treat_name,dose_type,dose_rank,log10_dose,dose,replicate,fold_act,max_e2,adj_max_e2
1,Gorilla,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,2,-0.3010299956639812,0.5,2,0.8442206897576834,94.44204420695269,-17.42686087053407
1,Gorilla,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,2,-0.3010299956639812,0.5,3,0.9264827583847361,103.64461175367015,-8.22429332381661
1,Gorilla,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,3,0,1,1,0.9211034482950844,103.04283422386852,-8.826070853618234
1,Gorilla,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,3,0,1,2,0.8498482759004553,95.07159610697381,-16.797308970512944
1,Gorilla,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,3,0,1,3,0.9088551722518314,101.67263299382302,-10.196272083663743
1,Gorilla,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,4,0.3010299956639812,2,1,0.9178758621182752,102.68176769222566,-9.187137385261096
1,Gorilla,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,4,0.3010299956639812,2,2,0.8698758621537375,97.31206025247342,-14.556844825013343
1,Gorilla,beta,diet,biscuit,5ma3,Primate High Fiber Sticks,extract_mg_ml,4,0.3010299956639812,2,3,0.8520827586645262,95.32156524720494,-16.547339830281814
1,Gorilla,beta,diet,biscuit,5m6c,Insectivore Diets,extract_mg_ml,1,-0.6989700043360187,0.2,1,0.8950344826903655,100.12652758516596,-11.742377492320799
1,Gorilla,beta,diet,biscuit,5m6c,Insectivore Diets,extract_mg_ml,1,-0.6989700043360187,0.2,2,0.8951172413286429,100.13578570341576,-11.733119374070995
1,Gorilla,beta,diet,biscuit,5m6c,Insectivore Diets,extract_mg_ml,1,-0.6989700043360187,0.2,3,0.8771586206047798,98.12677446633533,-13.742130611151424
1,Gorilla,beta,diet,biscuit,5m6c,Insectivore Diets,extract_mg_ml,2,-0.3010299956639812,0.5,1,0.9460965513612821,105.83878529837285,-6.030119779113903
1,Gorilla,beta,diet,biscuit,5m6c,Insectivore Diets,extract_mg_ml,2,-0.3010299956639812,0.5,2,0.9179586206668172,102.69102580043685,-9.177879277049911
1,Gorilla,beta,diet,biscuit,5m6c,Insectivore Diets,extract_mg_ml,2,-0.3010299956639812,0.5,3,0.879641379517977,98.40451798752609,-13.464387089960667
1,Gorilla,beta,diet,biscuit,5m6c,Insectivore Diets,extract_mg_ml,3,0,1,1,0.8973517239473284,100.38575482738278,-11.483150250103975
1,Gorilla,beta,diet,biscuit,5m6c,Insectivore Diets,extract_mg_ml,3,0,1,2,0.9690206893706824,108.40328351732967,-3.465621560157089
