date,receptor,genus,treat_type,treat_subtype,treat,treat_name,dose_type,dose,replicate,fold_act,n_doses
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,0.2,2,0.9757877515442124,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,0.2,3,0.9464878036010479,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,0.5,1,1.3366368982894135,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,0.5,2,1.3759452246769757,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,0.5,3,1.1012508638525305,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,1,1,1.4284764776666508,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,1,2,1.1527768010692414,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,1,3,1.6363093401435391,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,2,1,1.975663759000484,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,2,2,1.8410409787450417,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1s,Primate LS Biscuit Large,extract_mg_ml,2,3,1.6790703175989539,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,0.2,1,1.1663274555217262,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,0.2,2,1.0774355069522927,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,0.2,3,1.2655877970031204,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,0.5,1,1.9972513616960195,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,0.5,2,1.3506568710807392,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,0.5,3,1.2025580547843269,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,1,1,2.4459553181242084,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,1,2,1.9019832619119468,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,1,3,1.8591502808990152,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,2,1,4.670259230769591,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,2,2,3.826050719788114,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5ma4,Primate Browse Biscuit,extract_mg_ml,2,3,4.023219493509882,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,0.2,1,1.2396216680622807,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,0.2,2,1.177316261368225,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,0.2,3,1.2377058178111673,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,0.5,1,1.2427987950651784,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,0.5,2,1.0360104664976597,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,0.5,3,1.1679521973961695,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,1,1,1.5587909698384705,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,1,2,1.3441015371629323,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,1,3,1.1766586928138236,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,2,1,1.8931967356808335,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,2,2,2.1454650915954816,8
2022-08-04,beta,Xanthonycticebus,diet,biscuit,mazuri_5m1g,Primate LS Biscuit - Small,extract_mg_ml,2,3,1.9175117865389955,8
