plate,subj,genus,receptor,model,treat_type,treat_subtype,treat,treat_name,treat_desc,log10_dose,dose,replicate,fold_act,perc_e2,perc_e2_Dmax
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m6c,Mazuri<sup>®</sup> Insectivore Diets,Commercial Diet (Biscuit),-0.6989700043360187,0.2,2,11.689628027005451,20.908417947150458,14.879741515770137
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m6c,Mazuri<sup>®</sup> Insectivore Diets,Commercial Diet (Biscuit),-0.6989700043360187,0.2,3,13.267247346845432,23.730194998097687,16.88789503744533
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m6c,Mazuri<sup>®</sup> Insectivore Diets,Commercial Diet (Biscuit),-0.3010299956639812,0.5,1,24.23340476007764,43.344591789886586,30.846729942472003
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m6c,Mazuri<sup>®</sup> Insectivore Diets,Commercial Diet (Biscuit),-0.3010299956639812,0.5,2,23.19220855329258,41.48227714598542,29.521390043856695
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m6c,Mazuri<sup>®</sup> Insectivore Diets,Commercial Diet (Biscuit),-0.3010299956639812,0.5,3,25.092138100091308,44.880547898727606,31.939812639445602
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m6c,Mazuri<sup>®</sup> Insectivore Diets,Commercial Diet (Biscuit),0,1,1,36.354335434498466,65.02445053849283,46.27547711469091
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m6c,Mazuri<sup>®</sup> Insectivore Diets,Commercial Diet (Biscuit),0,1,2,36.237963311272544,64.81630388197101,46.12734689966245
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m6c,Mazuri<sup>®</sup> Insectivore Diets,Commercial Diet (Biscuit),0,1,3,37.127816606516944,66.40792207252734,47.26004222492036
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m6c,Mazuri<sup>®</sup> Insectivore Diets,Commercial Diet (Biscuit),0.3010299956639812,2,1,54.087451731443934,96.74243217019253,68.84798208730926
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m6c,Mazuri<sup>®</sup> Insectivore Diets,Commercial Diet (Biscuit),0.3010299956639812,2,2,46.51541364126545,83.19885860776228,59.20952573359718
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m6c,Mazuri<sup>®</sup> Insectivore Diets,Commercial Diet (Biscuit),0.3010299956639812,2,3,46.981223790414106,84.03202055781959,59.80245603033049
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m02,Mazuri<sup>®</sup> Leaf-Eater Primate Diet,Commercial Diet (Biscuit),-0.6989700043360187,0.2,1,17.45998707450287,31.229454543992784,22.22483845825535
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m02,Mazuri<sup>®</sup> Leaf-Eater Primate Diet,Commercial Diet (Biscuit),-0.6989700043360187,0.2,2,16.09744264851051,28.792366874103386,20.490454026545297
1,gorilla,Gorilla,beta,gorilla_beta,diet,biscuit,5m02,Mazuri<sup>®</sup> Leaf-Eater Primate Diet,Commercial Diet (Biscuit),-0.6989700043360187,0.2,3,18.901751283990098,33.80823708553823,24.060061847254346
