date,receptor,species,dose_type,dose,treatment,assay,value_1,value_2,value_3
8/4/22,esr1,human,extract_mg_ml,0.5,LS Cin,luciferase,12058,10362,9437
8/4/22,esr1,human,extract_mg_ml,1,LS Cin,luciferase,13534,11918,13182
8/4/22,esr1,human,extract_mg_ml,2,LS Cin,luciferase,19828,17306,16552
8/4/22,esr1,human,extract_mg_ml,0.2,Browse Biscuit,luciferase,6944,7193,5584
8/4/22,esr1,human,extract_mg_ml,0.5,Browse Biscuit,luciferase,11091,12472,10873
8/4/22,esr1,human,extract_mg_ml,1,Browse Biscuit,luciferase,16982,15955,15140
8/4/22,esr1,human,extract_mg_ml,2,Browse Biscuit,luciferase,24200,21370,22070
8/4/22,esr1,human,extract_mg_ml,0.2,LS Cin,b_gal,0.9841,0.8045,0.8862
8/4/22,esr1,human,extract_mg_ml,0.5,LS Cin,b_gal,1.006,0.8922,0.8751
8/4/22,esr1,human,extract_mg_ml,1,LS Cin,b_gal,0.8407,0.7145,0.8066
8/4/22,esr1,human,extract_mg_ml,2,LS Cin,b_gal,0.8387,0.8153,0.7521
8/4/22,esr1,human,extract_mg_ml,0.2,Browse Biscuit,b_gal,0.8957,0.9049,0.758
8/4/22,esr1,human,extract_mg_ml,0.5,Browse Biscuit,b_gal,0.9141,1.0287,0.942
8/4/22,esr1,human,extract_mg_ml,1,Browse Biscuit,b_gal,0.9665,0.9466,0.9047
8/4/22,esr1,human,extract_mg_ml,2,Browse Biscuit,b_gal,0.9789,0.8934,0.9031
8/4/22,esr1,human,extract_mg_ml,0.2,LS Ban,luciferase,6762,5503,5646
8/4/22,esr1,human,extract_mg_ml,0.5,LS Ban,luciferase,9721,10604,9808
8/4/22,esr1,human,extract_mg_ml,1,LS Ban,luciferase,13473,12889,11560
8/4/22,esr1,human,extract_mg_ml,2,LS Ban,luciferase,17193,17400,16450
8/4/22,esr1,human,extract_mg_ml,0.2,High Fiber,luciferase,8855,9142,8671
