tax	hdz-004-s3	hdz-005-s11	hdz-010-s23	hdz-011-s10	hdz-013-s8	hdz-014-s18	hdz-015-s28	hdz-016-s21	hdz-018-s30	hdz-019-s13	hdz-020-s12	hdz-021-s7	hdz-022-s31	hdz-023-s20	hdz-024-s19	hdz-025-s17	hdz-026-s15	hdz-027-s32	hdz-028-s16	hdz-028-s36	hdz-029-s14	hdz-030-s37	hdz-030-s6	hdz-032-s46	hdz-033-s43	hdz-034-s44	hdz-038-s45	hdz-039-s33	hdz-041-s53	hdz-045-s49	hdz-046-s48	hdz-051-s54	hdz-052-s50	hdz-055-s22	hdz-058-s63	hdz-060-s80	hdz-063-s1	hdz-064-s2	hdz-065-s4	hdz-066-s5	hdz-067-s9	hdz-068-s26	hdz-070-s29	hdz-071-s79	hdz-072-s34	hdz-076-s24	hdz-077-s38	hdz-078-s27	hdz-079-s25	hdz-081-s40	hdz-083-s39	hdz-084-s35	hdz-085-s92	hdz-087-s78	hdz-089-s64	hdz-093-s65	hdz-094-s66	hdz-097-s91	hdz-099-s72	hdz-101-s57	hdz-104-s69	hdz-106-s83	hdz-107-s55	hdz-108-s60	hdz-155-s67	hdz-156-s68	hdz-161-s77	hdz-163-s82	hdz-168-s58	hdz-175-s61	hdz-176-s51	hdz-177-s47	hdz-181-s74	hdz-182-s52	hdz-183-s84	hdz-186-s73	hdz-187-s71	hdz-188-s62	hdz-190-s59	hdz-191-s56	hdz-192-s75	hdz-193-s70	hdz-194-s87	hdz-196-s76	hdz-198-s88	hdz-199-s86	hdz-217-s89	hdz-219-s81	hdz-220-s85	hdz-221-s90	pl-ntc-001-ctrl	pl-ntc-003-ctrl	pl-ntc-004-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor;Flavonifractor plautii	52	15	2	2	94	32	4	12	0	39	13	12	3	20	28	0	115	2	12	1	19	4	25	0	0	19	0	6	5	35	0	9	36	56	14	27	9	14	58	0	24	3	2	13	2	0	1	1	8	0	0	0	31	7	8	6	0	27	4	121	5	97	9	8	9	3	2	16	9	0	3	13	23	62	39	34	45	3	8	2	19	14	10	8	115	76	50	59	88	86	0	0	0	1967
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella baroniae	10	48	30	17	85	71	0	57	0	26	166	30	2	16	33	20	41	0	35	17	16	2	16	2	0	8	10	9	4	3	0	15	3	14	15	69	15	38	33	4	39	0	4	30	1	4	0	1	3	0	0	7	20	39	2	1	8	23	15	31	1	24	6	6	7	12	21	50	6	8	4	4	42	6	15	44	49	3	23	2	71	23	17	26	47	13	10	24	38	21	0	1	0	1832
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella viscericola	3	19	12	1	104	26	1	39	0	42	108	56	3	20	41	7	44	2	35	14	30	8	10	0	0	4	10	8	13	2	0	26	6	22	19	63	24	50	66	9	36	1	2	22	12	4	2	1	1	1	0	9	9	35	6	9	11	11	4	117	11	74	30	10	5	16	17	38	15	12	4	6	14	4	3	38	35	4	10	7	12	21	30	17	27	13	24	27	16	11	0	0	0	1791
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	17	70	0	1	27	8	1	24	0	84	81	8	2	22	7	4	13	2	9	4	28	5	26	0	0	11	7	2	14	3	0	4	12	26	12	107	26	28	62	12	33	5	2	40	6	11	2	5	1	0	0	6	24	15	2	1	4	9	6	49	9	45	9	4	14	6	10	46	13	18	4	21	20	7	10	55	38	2	6	5	8	20	13	28	24	11	43	159	114	32	0	0	0	1784
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	23	27	7	8	51	13	1	17	0	18	44	12	7	21	7	6	41	1	26	2	12	4	28	1	0	17	6	2	16	5	0	5	12	74	32	21	49	38	38	12	38	5	1	11	2	6	2	3	2	0	0	1	86	60	6	8	4	58	6	64	7	14	5	12	7	8	12	65	10	2	2	13	16	38	7	35	41	9	3	3	27	10	9	58	47	16	45	53	39	26	0	0	0	1706
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium paraputrificum	2	3	0	14	9	52	0	0	0	1	2	381	0	346	30	0	0	0	0	0	81	32	195	1	0	62	0	0	21	6	0	0	11	12	2	0	0	1	0	0	0	24	0	2	43	0	0	0	3	5	0	0	18	0	6	2	0	0	0	38	2	7	5	1	2	22	1	2	1	1	0	16	0	6	30	17	8	2	1	0	0	0	0	0	4	4	61	0	0	1	0	0	0	1599
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Succinivibrionaceae;Succinatimonas;Succinatimonas hippei	9	56	5	1	32	32	0	10	0	42	24	24	6	28	23	2	44	1	17	2	32	3	20	0	0	8	4	6	20	1	0	12	4	67	16	44	21	67	30	17	24	1	14	40	1	5	0	0	2	1	0	1	25	19	1	3	1	16	24	26	4	31	9	6	6	3	32	26	3	8	1	11	28	13	32	33	31	15	6	2	11	7	12	12	21	10	18	14	28	8	0	0	0	1375
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium urinimassiliense	10	24	8	0	37	24	0	40	0	15	41	12	2	8	20	10	22	1	12	2	2	0	15	0	0	5	4	2	3	3	0	5	4	46	11	23	28	12	36	8	32	1	2	19	0	5	1	2	1	1	0	1	105	40	2	7	11	73	3	12	3	23	6	33	1	5	12	38	5	1	4	8	17	12	8	19	33	4	10	3	20	9	6	44	73	6	12	8	66	19	0	0	0	1321
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Waltera;Waltera intestinalis	8	32	58	7	166	54	1	30	0	19	57	15	6	9	48	29	64	1	36	6	27	2	14	0	0	6	1	4	8	3	0	12	1	7	9	19	20	5	30	3	20	2	2	4	1	1	0	2	0	1	0	1	21	10	4	1	7	17	3	8	4	6	1	9	1	5	3	20	6	6	12	5	12	1	0	26	16	1	6	5	22	7	2	66	13	7	27	27	22	16	0	0	0	1276
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;Oribacterium asaccharolyticum	23	60	28	3	51	32	0	18	0	33	31	13	1	16	15	7	23	0	15	7	31	5	32	1	0	17	5	4	11	2	0	5	3	32	10	17	18	25	20	6	16	1	3	4	1	4	0	2	2	0	0	4	30	12	1	3	2	28	21	20	4	31	7	3	2	3	25	16	1	5	2	7	20	12	27	11	9	5	2	4	25	16	11	37	17	24	54	53	20	21	0	0	0	1248
