tax	hdz-004-s3	hdz-005-s11	hdz-010-s23	hdz-011-s10	hdz-013-s8	hdz-014-s18	hdz-015-s28	hdz-016-s21	hdz-018-s30	hdz-019-s13	hdz-020-s12	hdz-021-s7	hdz-022-s31	hdz-023-s20	hdz-024-s19	hdz-025-s17	hdz-026-s15	hdz-027-s32	hdz-028-s16	hdz-028-s36	hdz-029-s14	hdz-030-s37	hdz-030-s6	hdz-032-s46	hdz-033-s43	hdz-034-s44	hdz-038-s45	hdz-039-s33	hdz-041-s53	hdz-045-s49	hdz-046-s48	hdz-051-s54	hdz-052-s50	hdz-055-s22	hdz-058-s63	hdz-060-s80	hdz-063-s1	hdz-064-s2	hdz-065-s4	hdz-066-s5	hdz-067-s9	hdz-068-s26	hdz-070-s29	hdz-071-s79	hdz-072-s34	hdz-076-s24	hdz-077-s38	hdz-078-s27	hdz-079-s25	hdz-081-s40	hdz-083-s39	hdz-084-s35	hdz-085-s92	hdz-087-s78	hdz-089-s64	hdz-093-s65	hdz-094-s66	hdz-097-s91	hdz-099-s72	hdz-101-s57	hdz-104-s69	hdz-106-s83	hdz-107-s55	hdz-108-s60	hdz-155-s67	hdz-156-s68	hdz-161-s77	hdz-163-s82	hdz-168-s58	hdz-175-s61	hdz-176-s51	hdz-177-s47	hdz-181-s74	hdz-182-s52	hdz-183-s84	hdz-186-s73	hdz-187-s71	hdz-188-s62	hdz-190-s59	hdz-191-s56	hdz-192-s75	hdz-193-s70	hdz-194-s87	hdz-196-s76	hdz-198-s88	hdz-199-s86	hdz-217-s89	hdz-219-s81	hdz-220-s85	hdz-221-s90	pl-ntc-001-ctrl	pl-ntc-003-ctrl	pl-ntc-004-ctrl	total
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis	13	56	0	2	6	5	2	19	0	69	43	1	1	19	7	0	11	0	1	4	38	5	10	0	0	3	1	0	5	5	0	1	3	28	3	64	11	44	53	5	14	2	4	11	4	1	0	2	1	0	0	4	12	11	0	1	2	2	4	31	1	21	5	5	6	5	6	25	4	3	0	8	13	10	2	34	31	2	7	0	3	2	10	12	21	16	52	100	21	8	0	0	0	1077
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella intestinalis	3	1	11	1	46	29	0	92	1	11	167	1	12	5	2	11	12	0	6	3	4	0	3	0	0	1	1	6	1	4	0	15	1	1	1	12	40	2	56	0	20	0	0	7	0	5	0	10	0	1	0	24	10	14	0	1	6	41	2	2	0	1	0	3	10	11	2	29	58	7	2	1	2	0	1	56	2	0	7	0	11	2	4	13	6	3	2	69	2	3	0	0	0	1012
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia caecimuris	0	4	1	3	41	196	0	12	2	6	3	3	3	1	15	18	31	0	4	1	4	0	2	0	0	1	1	8	0	7	0	1	4	6	3	10	36	2	92	1	46	0	0	11	1	3	0	3	0	1	0	1	2	26	1	2	2	103	3	14	1	3	1	10	7	8	7	15	3	3	7	3	28	2	1	38	19	2	9	0	12	1	3	8	47	5	11	7	4	0	0	0	0	1006
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella;Morganella morganii	0	2	0	2	43	15	0	2	0	0	0	15	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	21	1	0	1	0	0	0	0	3	0	0	0	0	0	1	0	10	0	3	659	2	0	2	4	26	0	0	0	2	0	1	13	11	1	1	69	1	3	0	1	41	9	0	0	6	1	0	12	3	1	4	0	1	0	0	0	0	0	1002
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Metaprevotella;Metaprevotella massiliensis	2	19	13	16	45	38	0	21	0	19	45	20	5	7	8	12	11	2	11	5	7	1	4	0	0	6	1	8	2	2	0	12	3	6	2	21	4	19	25	4	11	1	2	10	3	1	1	1	2	0	0	2	26	38	0	3	4	15	13	13	1	18	5	3	5	5	15	30	0	5	1	3	11	3	8	34	40	1	6	2	60	23	21	14	29	6	11	11	17	7	1	0	0	968
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caecigallinarum	2	24	0	0	13	3	0	48	0	19	147	2	1	2	16	1	15	0	18	16	7	1	3	0	0	3	3	6	6	3	0	8	1	3	10	67	24	9	26	2	37	0	0	4	2	1	1	2	0	1	0	23	24	37	9	0	0	13	1	5	3	7	4	9	7	3	0	44	4	1	0	1	4	0	0	28	18	1	10	0	9	4	0	1	42	0	13	33	25	22	0	0	0	962
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Duodenibacillus;Duodenibacillus massiliensis	3	36	15	23	56	30	0	29	1	25	46	27	5	13	31	11	27	0	10	4	8	1	17	1	0	1	1	2	6	0	0	3	6	9	6	22	6	17	25	2	22	0	0	17	4	0	0	0	2	1	0	2	29	8	0	1	3	7	5	15	1	22	5	3	3	1	15	20	1	3	2	3	8	4	6	4	12	2	9	4	26	7	5	27	46	7	8	18	15	17	0	0	0	945
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella;Shigella flexneri	1	10	0	56	3	6	0	4	24	3	1	238	3	0	0	31	0	0	0	0	0	0	0	0	0	0	0	4	0	223	0	0	0	1	7	0	32	0	3	0	10	0	0	21	1	2	0	0	0	0	0	0	0	0	0	8	0	0	0	135	0	1	17	0	0	0	0	0	0	0	0	0	0	3	18	0	1	2	0	8	0	0	0	3	32	2	0	0	3	12	0	0	0	929
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Paramuribaculum;Paramuribaculum intestinale	5	8	24	4	53	25	0	18	0	12	141	11	0	7	19	11	44	0	20	6	12	0	4	0	0	3	3	1	4	0	0	13	4	4	9	40	17	6	14	0	24	0	0	9	0	1	1	3	0	1	0	1	13	16	0	3	2	9	1	10	2	2	4	1	5	9	1	16	9	9	5	6	19	4	0	22	18	1	10	2	12	3	5	11	23	5	7	42	15	11	0	0	0	915
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	0	6	1	51	5	4	0	6	10	4	0	223	11	0	1	31	0	0	0	0	0	0	0	0	0	0	2	3	0	232	0	0	0	0	9	0	32	0	9	0	13	0	0	17	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	131	0	0	22	0	0	0	0	0	0	0	0	0	0	0	13	0	0	5	0	12	0	0	0	0	30	0	0	0	2	9	0	0	0	902
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora amygdalina	21	29	5	3	8	8	2	11	0	46	8	0	0	19	5	2	11	1	5	2	22	6	29	0	0	11	2	1	10	41	0	2	20	55	9	12	8	17	14	4	5	4	5	2	1	0	0	1	2	0	0	0	11	7	2	3	1	9	3	42	1	26	10	2	1	0	10	12	4	3	0	7	8	13	8	10	9	3	2	3	0	12	11	5	10	26	62	58	5	4	0	0	0	872
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas bubulae	0	0	2	4	0	2	0	32	0	3	52	53	0	1	0	0	0	0	20	7	2	0	1	0	0	0	0	0	0	0	2	0	0	0	32	0	7	4	1	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	20	0	0	1	590	1	3	0	0	0	858
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium indicum	10	34	5	0	14	7	2	7	0	36	11	2	1	34	1	2	11	0	2	1	32	0	29	0	0	13	1	1	9	29	0	4	22	40	8	9	10	16	12	8	7	4	5	1	0	1	0	1	0	0	0	2	8	4	1	8	1	2	5	29	6	18	12	0	1	2	10	8	2	1	0	8	3	8	7	6	11	0	2	3	7	16	12	6	9	29	73	65	6	7	0	0	0	840
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Faecalicatena;Faecalicatena contorta	21	25	5	1	11	10	2	10	0	37	8	0	0	14	4	1	7	1	5	1	25	5	22	0	0	15	0	3	8	44	0	1	18	35	11	10	4	13	8	2	7	0	5	2	3	0	0	0	2	0	0	1	7	7	0	3	0	5	6	26	1	28	21	2	1	1	11	19	3	3	1	8	10	15	12	9	5	2	0	5	7	10	18	4	6	42	64	55	5	5	0	0	0	834
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella vaginalis	30	14	5	0	15	15	0	40	0	18	42	1	5	1	3	11	7	0	2	1	4	0	3	0	0	1	0	0	2	7	0	0	6	7	2	7	6	6	26	1	3	2	0	6	0	2	0	1	1	0	0	11	0	6	0	2	2	23	11	22	4	1	0	1	9	2	6	12	25	1	2	1	0	4	10	33	2	4	3	4	8	15	9	9	1	3	12	224	2	4	0	0	0	791
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium;Lachnoclostridium pacaense	7	10	8	4	31	15	0	12	1	9	21	4	2	7	9	4	27	1	12	0	3	0	16	0	0	7	3	4	8	3	0	7	3	30	18	17	23	8	15	2	29	0	2	8	0	1	0	0	0	0	0	0	44	26	0	5	4	14	2	11	4	9	0	6	1	0	6	26	3	5	2	0	7	0	2	17	29	2	4	1	13	2	2	22	21	3	23	14	42	16	0	0	0	779
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus	4	1	0	0	58	6	0	1	1	19	0	1	2	4	0	0	2	0	0	0	27	4	7	0	0	4	1	3	7	120	0	3	58	12	7	18	4	7	12	1	8	9	2	2	0	0	0	0	6	0	0	1	1	0	3	1	0	1	0	78	0	20	3	1	5	0	0	12	3	2	0	5	3	20	14	5	5	3	2	0	0	4	0	0	2	1	10	99	1	0	0	0	0	726
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella seckii	4	12	6	1	42	39	0	15	0	20	54	4	1	3	14	6	19	0	8	2	13	1	3	0	0	2	0	1	2	1	0	2	2	6	7	40	18	8	38	0	32	0	0	14	0	0	1	6	0	0	0	5	9	11	4	3	6	15	4	10	0	4	2	2	5	3	0	18	3	5	1	1	8	2	4	20	25	1	4	1	12	3	2	1	5	4	15	22	2	10	0	0	0	699
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Muribaculum gordoncarteri	6	38	1	0	4	3	0	2	0	64	1	2	0	24	0	0	1	1	1	1	58	8	26	0	0	11	1	1	11	7	0	0	8	12	1	5	2	21	2	6	0	3	1	1	1	0	0	0	0	0	0	0	0	3	1	1	0	0	0	10	1	19	16	0	2	0	3	0	1	1	0	2	1	2	0	3	2	0	0	5	0	18	31	16	19	14	62	82	18	13	0	0	0	681
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter massiliensis	15	36	0	0	0	0	1	0	0	24	0	0	0	15	0	0	0	0	0	0	16	1	9	0	0	9	0	0	4	8	1	0	15	28	0	0	0	2	0	0	0	1	0	0	1	0	0	0	6	0	0	0	0	0	0	15	0	0	0	263	1	60	17	0	0	0	0	0	0	0	0	18	0	2	33	0	0	2	0	3	0	6	1	0	0	37	9	16	0	0	0	0	0	675
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron	35	20	0	0	0	0	4	0	0	118	0	0	0	21	0	0	1	2	0	0	15	4	15	0	0	6	0	0	3	27	0	0	47	23	0	2	0	1	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	61	0	24	6	0	0	0	7	0	0	0	0	42	0	38	12	0	0	3	0	4	0	2	7	0	0	16	1	95	0	1	0	0	0	671
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster citroniae	25	19	2	0	7	2	0	8	0	11	9	3	1	16	12	1	8	0	1	1	26	1	10	0	0	0	2	0	2	11	0	2	1	12	4	10	4	8	14	1	8	3	0	3	0	3	0	1	1	2	0	0	19	9	1	3	0	16	1	37	0	24	8	5	0	2	4	8	0	0	0	13	4	1	3	11	4	1	6	0	17	1	3	5	12	25	24	6	30	14	0	0	0	572
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	13	12	10	1	37	14	0	8	0	11	38	5	1	2	3	6	17	1	3	4	10	0	1	0	0	3	0	4	4	0	0	6	1	1	0	35	12	9	17	0	12	1	0	9	2	4	2	0	0	1	0	2	6	11	0	2	4	10	0	9	3	1	2	0	4	7	0	24	1	0	1	1	8	0	0	16	13	0	6	0	9	6	6	3	8	4	3	27	4	7	0	0	0	528
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella oxytoca	0	62	13	7	85	19	0	56	4	0	0	27	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	2	9	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	3	120	1	0	1	3	0	1	0	0	0	0	1	0	2	0	1	6	1	2	0	15	4	2	4	1	1	2	1	4	20	2	0	3	1	1	15	1	0	0	515
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Emergencia;Emergencia timonensis	1	7	0	0	2	2	0	0	0	6	1	0	0	19	0	0	0	0	0	0	25	4	16	0	0	16	0	3	7	5	0	2	7	19	2	16	5	11	4	2	7	4	2	3	3	1	0	1	0	0	0	0	10	4	1	2	0	3	1	38	0	12	6	0	9	6	1	6	13	0	1	8	6	7	1	29	10	0	3	5	0	8	0	1	27	0	65	17	1	2	0	0	0	506
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Intestinimonas;Intestinimonas gabonensis	19	6	0	0	0	0	0	0	0	21	0	0	0	13	0	0	0	0	0	0	12	2	12	0	0	6	0	0	6	5	0	0	9	2	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1	1	0	4	31	39	1	2	1	42	1	17	6	3	5	11	10	20	0	59	6	3	4	2	12	0	0	4	1	0	1	0	4	3	0	1	13	0	41	23	0	1	0	0	0	497
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium callanderi	1	1	5	1	62	26	0	8	1	2	6	3	1	4	3	1	16	0	2	0	2	0	3	0	0	0	3	2	1	3	0	3	2	17	2	3	42	0	20	0	45	2	0	5	0	2	1	0	1	0	0	0	8	6	0	1	0	38	0	0	0	0	0	2	1	1	6	4	1	1	0	2	7	2	6	19	8	0	2	1	2	2	2	16	2	1	19	5	3	6	0	0	0	476
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerotignum;Anaerotignum faecicola	7	3	0	0	0	0	0	0	0	20	0	0	0	17	0	0	0	0	0	0	13	3	11	0	0	3	0	0	4	6	0	0	15	43	0	1	0	11	4	2	0	1	2	1	1	1	0	0	2	0	0	0	0	0	0	1	0	0	2	40	0	101	17	0	2	0	3	0	1	0	0	15	1	22	9	3	5	9	0	2	0	2	0	0	0	20	13	26	0	0	0	0	0	465
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus	1	10	0	0	0	0	0	0	0	7	0	0	0	4	0	0	0	0	0	0	15	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	6	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	3	341	49	0	0	0	0	0	460
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas dhakensis	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	276	0	0	0	0	0	0	0	0	0	0	1	0	0	5	7	0	0	7	0	1	0	2	0	1	11	0	1	0	0	0	0	0	0	0	61	0	0	0	440
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Providencia;Providencia rettgeri	0	6	0	1	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	17	203	0	0	0	4	0	0	0	0	1	1	4	2	0	0	7	164	0	1	0	0	0	1	0	0	2	0	1	1	1	0	0	0	0	0	1	0	0	0	430
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	5	13	8	4	40	20	0	10	1	10	15	12	1	4	9	6	16	0	6	4	5	0	9	0	0	1	0	0	3	1	0	8	2	6	2	5	5	3	13	1	8	0	0	3	0	0	0	0	0	2	0	4	6	8	1	0	5	3	2	1	2	3	1	3	1	1	0	2	4	3	0	2	4	2	1	10	7	0	2	2	5	1	2	26	6	5	8	17	9	7	0	0	0	427
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter amalonaticus	0	57	7	3	1	2	0	15	0	1	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	7	3	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	116	0	0	5	0	0	0	0	2	0	0	0	4	0	16	38	3	1	17	0	1	0	0	3	6	0	2	2	0	0	2	0	0	0	427
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium tarantellae	0	3	0	0	0	2	0	0	0	0	0	0	0	128	5	0	0	0	0	0	9	5	38	0	0	20	0	0	14	1	0	0	1	16	0	0	0	10	0	0	1	7	0	0	17	0	0	0	0	0	0	0	0	0	0	6	0	0	0	20	7	5	2	0	0	0	2	0	0	0	0	1	0	5	75	2	0	0	0	1	0	0	0	0	0	12	6	0	0	0	0	0	0	421
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Prolinoborus;Prolinoborus fasciculus	0	0	1	0	0	0	200	0	2	134	0	0	0	0	0	14	0	12	0	1	0	0	0	0	0	0	0	0	0	33	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	6	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	417
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae	0	125	1	2	28	7	0	3	0	0	0	13	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	1	0	0	0	0	1	0	0	4	2	1	1	5	5	0	0	15	1	2	1	0	2	1	0	7	4	3	4	2	0	0	27	0	1	0	415
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella loescheii	5	15	4	2	15	6	0	8	0	9	15	4	1	4	6	1	6	0	6	3	3	0	2	0	0	1	3	5	0	1	0	2	0	1	1	11	1	13	17	5	13	0	0	7	2	2	0	0	1	0	0	2	9	8	2	1	1	9	5	11	1	5	1	0	1	1	9	14	0	2	1	3	7	1	2	10	18	2	1	1	21	15	6	6	13	4	2	2	10	4	0	0	0	412
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	5	26	0	0	8	0	0	0	0	26	0	0	0	8	0	0	4	0	0	0	17	1	4	0	0	1	1	0	0	1	0	1	0	12	8	13	2	5	9	0	3	2	0	3	2	0	0	0	0	0	0	1	0	4	1	1	0	0	0	70	0	5	1	2	2	2	1	18	5	1	0	3	1	9	1	3	5	0	3	2	2	3	5	0	10	1	33	45	0	0	0	0	0	402
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter himalayensis	7	7	10	9	28	21	2	6	0	8	6	26	0	3	6	3	10	1	5	1	5	0	1	1	0	1	1	0	1	12	0	0	11	11	0	0	1	2	6	2	10	0	0	3	0	2	0	2	1	0	0	0	7	7	3	1	0	1	6	12	2	14	2	3	2	0	4	4	3	0	0	6	6	12	4	5	5	1	3	2	9	6	4	1	11	4	2	5	4	4	0	0	0	397
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus terrae	0	13	0	11	17	1	0	0	0	0	0	11	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	128	0	0	0	0	1	0	1	0	2	6	0	2	9	1	16	22	0	4	0	3	25	16	0	0	8	0	0	8	0	0	2	0	0	0	4	0	0	0	395
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parafannyhessea;Parafannyhessea umbonata	29	2	2	0	0	1	0	0	1	18	5	0	0	15	0	0	1	0	0	0	8	0	8	0	0	3	0	0	3	3	0	1	3	15	0	0	0	2	1	0	1	0	0	0	2	1	0	0	0	0	0	0	1	2	0	0	0	1	29	10	1	1	4	0	0	0	5	4	2	0	0	4	0	6	27	5	0	3	0	2	1	22	21	1	0	3	25	79	0	1	0	0	0	385
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter catenae	14	14	0	0	0	0	0	0	0	15	0	0	0	4	0	0	0	0	0	0	8	1	6	0	0	5	0	0	0	5	0	0	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	8	0	0	2	157	0	36	14	0	0	0	0	0	0	0	0	7	0	4	17	0	0	1	0	0	0	6	0	0	0	19	7	14	0	0	1	0	0	381
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis	34	168	0	0	0	1	1	0	0	38	0	0	0	11	0	0	0	0	0	0	17	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	90	0	0	0	0	0	367
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus hirae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6	2	2	119	0	2	1	136	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	1	2	23	34	1	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	361
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;Megasphaera paucivorans	4	19	7	2	5	13	0	6	0	5	10	1	0	7	1	13	2	1	1	1	10	1	6	0	0	5	0	0	2	0	0	2	1	6	0	3	5	8	9	2	5	1	1	6	0	0	0	2	4	0	0	0	9	7	0	0	0	8	21	8	1	7	2	2	1	0	11	12	0	1	0	0	2	1	11	3	5	0	0	0	13	9	5	4	2	5	1	7	5	6	0	0	0	346
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;Peptococcus niger	1	7	1	1	3	14	0	7	0	3	0	1	1	3	5	6	12	1	1	0	3	1	0	0	0	1	0	0	2	0	0	1	0	8	3	7	3	0	1	1	11	0	0	2	1	0	0	1	0	0	0	1	7	3	0	3	2	38	2	9	0	5	1	1	0	1	4	2	3	9	10	4	5	2	1	7	3	0	2	1	2	0	0	35	6	0	49	9	3	0	0	0	0	343
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;Barnesiella intestinihominis	5	21	2	0	10	2	1	3	0	38	6	3	0	9	1	0	1	2	0	0	33	3	12	0	0	13	2	0	13	3	0	3	15	1	4	8	1	10	3	1	2	0	2	2	0	0	0	0	0	1	0	1	4	5	0	0	3	2	0	6	1	10	2	0	1	0	2	8	0	1	0	1	3	0	1	2	3	0	0	0	1	4	3	4	7	3	9	12	3	2	0	0	0	340
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;Collinsella tanakaei	0	0	3	1	30	12	0	30	0	0	40	0	6	0	0	0	8	0	2	1	1	0	1	0	0	0	0	1	0	0	0	6	0	1	0	4	3	0	25	0	2	0	0	5	0	4	0	1	0	0	0	14	5	5	1	0	2	5	2	3	1	1	0	0	5	3	1	10	21	4	2	0	2	0	0	27	2	0	1	0	3	4	0	7	2	0	0	5	2	5	0	0	0	332
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella;Rahnella contaminans	0	0	0	1	0	2	0	0	94	2	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	316
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera;Kluyvera georgiana	0	90	0	0	2	0	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	106	0	0	1	45	0	0	0	0	0	0	0	0	2	1	0	13	0	0	0	0	2	0	0	0	0	0	0	19	2	2	9	2	0	0	4	0	0	0	313
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Millionella;Millionella massiliensis	0	5	4	0	17	4	0	11	0	9	18	8	0	1	7	1	2	0	6	0	5	0	1	0	0	0	1	3	2	1	0	2	3	2	4	13	9	9	7	1	6	2	0	1	1	4	0	1	1	3	0	0	3	10	1	2	3	1	1	23	2	13	3	2	2	1	1	6	2	0	0	0	3	1	0	7	7	0	1	1	3	9	7	3	3	1	4	7	3	1	0	0	0	312
