Run ID,Seq ID,Run Date,Sequencer,F Primer,R Primer,Kit,Flow Cell Type,Tube,Template ID,Sequence ID,Barcode,Final Library Concentration (ng/uL),Volume Added to Pool (uL),Sample ID,Subject,Stabilizer,Collection Date
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,3,S72,HDZ-099-S72,16S3,4.72,0.9,HDZ-099,Warble,D_R-Shield,12/21/2023
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,4,S73,HDZ-186-S73,16S4,3.47,1.2,HDZ-186,Warble,D_R-Shield,12/6/2023
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,5,S74,HDZ-181-S74,16S5,1.43,2.8,HDZ-181,Culi,D_R-Shield,12/10/2023
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,6,S75,HDZ-192-S75,16S6,3,1.3,HDZ-192,Culi,D_R-Shield,1/7/2024
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,7,S76,HDZ-196-S76,16S7,2.56,1.6,HDZ-196,Culi,D_R-Shield,2/5/2024
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,8,S77,HDZ-161-S77,16S8,2.17,1.9,HDZ-161,Warble,D_R-Shield,12/16/2023
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,9,S78,HDZ-087-S78,16S9,4.23,0.9,HDZ-087,Culi,D_R-Shield,12/29/2023
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,10,S79,HDZ-071-S79,16S10,1.19,3.4,HDZ-071,Culi,D_R-Shield,12/2/2023
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,11,S80,HDZ-060-S80,16S11,4.24,0.9,HDZ-060,Culi,D_R-Shield,12/15/2023
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,12,S81,HDZ-219-S81,16S12,4.43,0.9,HDZ-219,Culi,D_R-Shield,3/16/2024
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,13,S82,HDZ-163-S82,16S13,3.7,1.1,HDZ-163,Culi,D_R-Shield,12/19/2023
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,14,S83,HDZ-106-S83,16S14,4.82,0.8,HDZ-106,Warble,D_R-Shield,1/1/2024
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,15,S84,HDZ-183-S84,16S15,3.7,1.1,HDZ-183,Warble,D_R-Shield,12/7/2023
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,16,S85,HDZ-220-S85,16S16,1.51,2.7,HDZ-220,Culi,D_R-Shield,3/17/2024
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,17,S86,HDZ-199-S86,16S17,2.19,1.8,HDZ-199,Warble,D_R-Shield,2/6/2024
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,18,S87,HDZ-194-S87,16S18,1.76,2.3,HDZ-194,Warble,D_R-Shield,2/2/2024
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,19,S88,HDZ-198-S88,16S19,1.98,2,HDZ-198,Culi,D_R-Shield,2/8/2024
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,20,S89,HDZ-217-S89,16S20,1.15,3.5,HDZ-217,Warble,D_R-Shield,3/26/2024
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,21,S90,HDZ-221-S90,16S21,1.64,2.4,HDZ-221,Culi,D_R-Shield,3/14/2024
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,22,S91,HDZ-097-S91,16S22,6.3,0.6,HDZ-097,Culi,D_R-Shield,12/25/2023
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,23,S92,HDZ-085-S92,16S23,4.31,0.9,HDZ-085,Culi,D_R-Shield,1/1/2024
MIN_16_2024-6-13,PL004,6/13/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,24,CTRL,PL-NTC-004-CTRL,16S24,0.663,1.8,PL-NTC-004,,D_R-Shield,
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,1,S93,HDZ-002-S93,16S1,1.9,2.1,HDZ-002,Warble,D_R-Shield,11/1/2023
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,2,S94,HDZ-036-S94,16S2,1,4,HDZ-036,Warble,D_R-Shield,11/9/2023
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,3,S95,HDZ-096-S95,16S3,2.19,1.8,HDZ-096,Warble,D_R-Shield,12/27/2023
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,4,S96,HDZ-102-S96,16S4,1.21,3.3,HDZ-102,Culi,D_R-Shield,12/23/2023
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,5,S97,HDZ-105-S97,16S5,0.826,4.9,HDZ-105,Warble,D_R-Shield,12/28/2023
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,6,S98,HDZ-179-S98,16S6,0.864,4.6,HDZ-179,Culi,D_R-Shield,12/11/2023
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,7,S99,HDZ-180-S99,16S7,1.37,2.9,HDZ-180,Culi,D_R-Shield,12/12/2023
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,8,S100,HDZ-200-S100,16S8,1.9,2.1,HDZ-200,Warble,D_R-Shield,2/3/2024
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,9,S101,HDZ-205-S101,16S9,3.75,1.1,HDZ-205,Warble,D_R-Shield,1/29/2024
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,10,S102,HDZ-207-S102,16S10,3.36,1.2,HDZ-207,Warble,D_R-Shield,1/27/2024
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,11,S103,HDZ-208-S103,16S11,3.73,1.1,HDZ-208,Warble,D_R-Shield,1/30/2024
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,12,S104,HDZ-209-S104,16S12,1.35,3,HDZ-209,Warble,D_R-Shield,1/26/2024
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,13,S105,HDZ-210-S105,16S13,2.07,1.9,HDZ-210,Warble,D_R-Shield,3/14/2024
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,14,S106,HDZ-211-S106,16S14,0.976,4.1,HDZ-211,Culi,D_R-Shield,3/22/2024
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,15,S107,HDZ-213-S107,16S15,1.34,3,HDZ-213,Unknown,D_R-Shield,3/31/2024
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,16,S108,HDZ-215-S108,16S16,1.38,2.9,HDZ-215,Culi,D_R-Shield,3/27/2024
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,17,S109,HDZ-222-S109,16S17,2.03,2,HDZ-222,Culi,D_R-Shield,3/2/2024
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,18,S110,HDZ-301-S110,16S18,5.6,0.7,HDZ-301,Culi,D_R-Shield,2/22/2024
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,19,S111,HDZ-302-S111,16S19,1.3,3.1,HDZ-302,Warble,D_R-Shield,2/25/2024
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,20,S112,HDZ-303-S112,16S20,1.92,2.1,HDZ-303,Warble,D_R-Shield,2/13/2024
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,21,S113,HDZ-304-S113,16S21,0.778,5.2,HDZ-304,Warble,D_R-Shield,2/15/2024
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,22,S114,HDZ-305-S114,16S22,1.27,3.2,HDZ-305,Culi,D_R-Shield,2/19/2024
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,23,S115,HDZ-306-S115,16S23,4.59,0.9,HDZ-306,Warble,D_R-Shield,2/11/2024
MIN_16_2024-7-17,PL005,7/17/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,24,CTRL,PL-NTC-005-CTRL,16S24,0.713,,PL-NTC-005,,D_R-Shield,
MIN_16_2024-7-18,PL006,7/18/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,1,S116,HDZ-307-S116,16S1,,,HDZ-307,Warble,D_R-Shield,2/9/2024
MIN_16_2024-7-18,PL006,7/18/2024,Angel-MinION,27F,1492R,SQK-16S114-24,FLO-FLG114,2,S117,HDZ-308-S117,16S2,,,HDZ-308,Culi,D_R-Shield,2/15/2024
