tax	hdz-001-s231	hdz-050-s232	hdz-057-s233	hdz-088-s234	hdz-090-s235	hdz-091-s236	hdz-092-s237	hdz-098-s238	hdz-103-s239	hdz-109-s240	hdz-157-s241	hdz-160-s242	hdz-162-s243	hdz-169-s244	hdz-170-s245	hdz-173-s246	hdz-174-s247	hdz-184-s248	hdz-204-s249	hdz-212-s250	hdz-214-s251	hdz-339-s252	hdz-437-s253	pl-ntc-011-ctrl	total
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus avium	7	1	2	4	0	1	1	0	1	6	1	0	1	0	6	7	6	1	0	3	0	2	1	0	51
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ruthenibacterium;Ruthenibacterium lactatiformans	7	0	0	0	0	0	1	0	3	0	1	0	0	0	0	4	0	0	0	4	1	0	28	0	49
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;'Megasphaera vaginalis' Bordigoni et al. 2020	1	3	2	0	2	2	3	0	1	4	1	2	5	3	5	1	4	0	1	0	3	5	0	0	48
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii	4	0	2	2	1	0	2	0	10	0	2	7	2	0	3	0	2	1	0	1	6	0	3	0	48
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerotignum;Anaerotignum aminivorans	1	0	0	2	1	1	1	0	4	0	0	4	0	0	0	3	6	7	0	0	1	0	16	0	47
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis	9	1	2	3	0	0	3	1	0	3	1	5	0	0	8	4	1	0	0	5	0	0	0	0	46
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Bilifractor;Bilifractor porci	4	1	1	1	0	3	0	2	2	2	0	3	0	2	1	1	4	0	2	5	1	0	10	0	45
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	0	0	9	6	0	2	0	0	1	1	0	2	0	4	0	0	5	9	1	0	2	1	2	0	45
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter himalayensis	4	2	5	2	0	2	0	5	0	2	1	1	3	2	3	1	2	4	0	0	4	1	1	0	45
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Ihubacter;Ihubacter massiliensis	1	0	1	3	1	1	0	0	3	1	3	0	6	0	3	0	0	1	3	6	0	0	12	0	45
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Hydrogeniiclostridium;Hydrogeniiclostridium mannosilyticum	4	1	0	0	0	0	2	0	1	0	3	0	0	0	0	2	0	0	0	11	0	0	20	0	44
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Hominisplanchenecus;Hominisplanchenecus faecis	1	0	1	3	1	1	2	0	4	0	0	3	2	2	2	2	3	1	4	3	2	0	6	0	43
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides koreensis	15	0	0	0	0	0	0	0	3	0	1	3	0	0	0	1	0	1	1	5	0	0	13	0	43
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella maculosa	0	1	2	3	0	4	0	4	2	1	2	5	2	3	0	0	4	6	0	0	0	0	2	0	41
Bacteria;Bacteria_none;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Floccifex;Floccifex porci	1	3	6	5	0	1	0	0	0	0	1	1	0	4	0	0	2	7	1	3	1	4	1	0	41
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Thermophilibacter;Thermophilibacter mediterraneus	3	1	18	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	9	0	0	3	2	0	40
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter catenae	6	0	0	0	3	0	2	0	4	0	6	0	0	0	10	3	0	0	0	4	0	0	0	1	39
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella effluvii	9	1	0	0	0	0	0	0	0	0	2	1	0	0	6	1	0	0	0	1	0	0	18	0	39
Bacteria;Bacteria_none;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter monodelphidis	0	2	3	1	1	1	0	3	0	2	0	3	1	3	0	1	1	11	0	0	1	2	1	0	37
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Sodaliphilus;Sodaliphilus pleomorphus	2	0	4	3	0	1	0	4	0	0	0	3	0	1	0	0	2	9	1	0	1	3	3	0	37
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Lentihominibacter;Lentihominibacter hominis	7	0	3	7	1	1	0	1	2	0	0	0	4	2	3	0	1	0	3	0	0	0	0	0	35
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	7	1	4	1	4	1	0	1	1	0	0	1	0	1	3	0	1	3	1	1	1	0	2	0	34
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	0	0	1	0	0	11	0	0	1	0	1	0	1	0	0	2	0	12	2	2	0	0	0	0	33
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas dhakensis	0	0	0	0	0	11	0	0	0	0	0	0	0	0	1	0	0	20	0	0	0	0	0	0	32
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Christensenellaceae;Christensenella;Christensenella minuta	0	0	0	4	0	0	2	1	2	0	0	0	3	0	0	0	0	3	0	12	0	0	5	0	32
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus terrae	0	0	0	4	0	1	3	0	0	0	0	4	0	0	0	1	9	8	0	0	0	0	0	0	30
