"Taxa"	"wolverine14"	"wolverine17"	"wolverine37"	"wolverine44"	"wolverine49"	"wolverine57"	"wolverine58"	"wolverine60"	"wolverine70"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter quasiroggenkampii"	0	0	0	0	0	0	0	0.00600772421685024	0.00100502512562814
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora sphenoides"	0.00328994421398942	0.000285755107872553	0.000571510215745106	0.000286286859433152	0.000285959393766085	0.000571428571428571	0.001	0.000143041052782148	0.000574300071787509
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera micronuciformis"	0.00171649263338578	0.000714387769681383	0.000571510215745106	0.000572573718866304	0.000714898484415213	0.000142857142857143	0.000571428571428571	0.00128736947503934	0.000574300071787509
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter|s__Thermophilibacter mediterraneus"	0.000143041052782148	0.000571510215745106	0.00085726532361766	0.00128829086744918	0.000285959393766085	0	0.000142857142857143	0.000429123158346445	0.00287150035893754
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella marseillensis"	0.00100128736947504	0	0.00085726532361766	0.00100200400801603	0.00214469545324564	0.000285714285714286	0	0.000429123158346445	0.000861450107681263
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides eggerthii"	0.0044342726362466	0	0.000285755107872553	0.000572573718866304	0.000285959393766085	0.000285714285714286	0	0	0.000430725053840632
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster clostridioformis"	0.00343298526677156	0.00042863266180883	0.000285755107872553	0.000286286859433152	0.000714898484415213	0.000142857142857143	0.000571428571428571	0.000143041052782148	0.000287150035893755
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides thetaiotaomicron"	0.00314690316120727	0.000142877553936277	0.00042863266180883	0.000572573718866304	0.000142979696883043	0.000571428571428571	0.000142857142857143	0.000143041052782148	0.000861450107681263
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella|s__Duncaniella dubosii"	0.00100128736947504	0.000285755107872553	0.000571510215745106	0.00071571714858288	0.00057191878753217	0.000428571428571429	0.000142857142857143	0.000715205263910742	0.00157932519741565
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Hominisplanchenecus|s__Hominisplanchenecus faecis"	0.00314690316120727	0.00042863266180883	0.000142877553936277	0.000429430289149728	0.000428939090649128	0	0.000142857142857143	0.000572164211128594	0.000574300071787509
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus senegalensis"	0.00100128736947504	0.000285755107872553	0.00042863266180883	0.000286286859433152	0.00157277666571347	0.000285714285714286	0	0.00143041052782148	0.000430725053840632
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora amygdalina"	0.00271778000286082	0.00042863266180883	0.000285755107872553	0.000286286859433152	0.0010008578781813	0.000142857142857143	0.000285714285714286	0	0.000430725053840632
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium hapali"	0	0	0	0.00286286859433152	0	0	0	0	0.00244077530509691
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium callanderi"	0.00300386210842512	0.000285755107872553	0.00042863266180883	0.000286286859433152	0	0.000142857142857143	0.000285714285714286	0	0.000574300071787509
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium edouardi"	0.00243169789729652	0.000285755107872553	0.00042863266180883	0.000286286859433152	0.000285959393766085	0.000285714285714286	0.000428571428571429	0.000143041052782148	0.000430725053840632
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Marvinbryantia|s__Marvinbryantia formatexigens"	0.000715205263910742	0.000571510215745106	0.00042863266180883	0.00114514743773261	0.000285959393766085	0.000285714285714286	0.000285714285714286	0.000429123158346445	0.000717875089734386
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella loescheii"	0.000858246316692891	0	0.000142877553936277	0.000572573718866304	0.00157277666571347	0.000285714285714286	0	0.000715205263910742	0.000574300071787509
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Porcincola|s__Porcincola intestinalis"	0.000429123158346445	0.000142877553936277	0.000142877553936277	0.000286286859433152	0.00243065484701172	0.000142857142857143	0	0.000715205263910742	0.000430725053840632
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter ludwigii"	0	0	0	0	0	0	0	0.00429123158346445	0.000287150035893755
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella maculosa"	0.000572164211128594	0	0.00042863266180883	0.000858860578299456	0.000857878181298256	0.000142857142857143	0	0.000715205263910742	0.000861450107681263
