| GRTS Cell Id,SITE_ID,SPARCS,BAT_ID,BAT_SP,AGE,SEX,REPRO_STAT,RFA_MM,MASS_G,NET_HT,SAMPLE,WING_SCORE,BAND,BAND_COLOR,BAND_NUMBR,BAND_ID,BAND_ARM,PIT_TAG,RADIO_FREQ,CAP_TIME,COMMENTS,SITE,LAT,LONG,ACCURACY,MONTH,DAY,YEAR,DATE,START_TIME,STOP_TIME,PROJECT,SITE_NAME,STATE,COUNTY,TYPE,EFFORT,HABITAT,SURVEYOR,PERMIT_NUM,EMAIL,S_COMMENTS,EFFORT_HRS,STATUS,FILE_NAME
636,,,,Corynorhinus rafinesquii macrotis,Juvenile,,,,,,,0,,,,,,,,19:00,,,,,,,,,6/22/2015,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Adult,,,,,,,0,,,,,,,,19:00,,,,,,,,,6/22/2015,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Adult,,,,,,,0,,,,,,,,19:00,,,,,,,,,6/22/2015,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Juvenile,,,,,,,0,,,,,,,,19:00,,,,,,,,,6/22/2015,,,,,North Carolina,,,,,,,,,,,
636,,,,Corynorhinus rafinesquii macrotis,Juvenile,,,,,,,0,,,,,,,,19:00,,,,,,,,,6/22/2015,,,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Adult,Female,Lactating,42,15.5,,,0,,,A0015,,,,,21:26,Hair: H8.,,,,,,,,6/23/2014,20:30,1:45,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Adult,Female,Lactating,42,13,,,1,,,A0020,,,,,23:55,Hair: H9.,,,,,,,,6/23/2014,20:30,1:45,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Adult,Female,Lactating,41,13.5,,,0,,,A0014,,,,,21:25,Hair: H7.,,,,,,,,6/23/2014,20:30,1:45,,,North Carolina,,,,,,,,,,,
636,,,,Myotis austroriparius,Adult,Male,Non-Reproductive,37,7,,,0,,,A0019,,,,,21:55,,,,,,,,,6/23/2014,20:30,1:45,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Adult,Male,Non-Reproductive,34,10.25,,,0,,,A0012,,,,,0:45,Hair: H10.,,,,,,,,6/23/2014,20:30,1:45,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Adult,Male,Non-Reproductive,34,8,,,1,,,A0017,,,,,21:27,Hair: H6.,,,,,,,,6/23/2014,20:30,1:45,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Adult,Female,Pregnant,42,18.1,,,,,,,,,,,,,,,,,,,,6/5/2004,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Adult,Male,Non-Reproductive,41,10.6,,,,,,,,,,,,,,,,,,,,6/5/2004,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Adult,Male,Non-Reproductive,35,8.6,,,,,,,,,,,,,,,,,,,,6/5/2004,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Adult,Male,Non-Reproductive,36,7.8,,,,,,,,,,,,,,,,,,,,6/5/2004,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Eptesicus fuscus,Juvenile,Male,Scrotal,46,15.1,,,,,,,,,,,,,,,,,,,,7/21/2004,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Eptesicus fuscus,Juvenile,Male,Non-Reproductive,49,15.9,,,,,,,,,,,,,,,,,,,,7/21/2004,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Eptesicus fuscus,Adult,Female,Post Lactating,46,20.2,,,,,,,,,,,,,,,,,,,,7/21/2004,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Juvenile,Female,Non-Reproductive,42,11,,,,,,,,,,,,,,,,,,,,7/21/2004,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Juvenile,Male,Scrotal,39,9.7,,,,,,,,,,,,,,,,,,,,7/21/2004,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus borealis,Juvenile,Female,Non-Reproductive,40,10.3,,,,,,,,,,,,,,,,,,,,7/21/2004,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus seminolus,,,,,,,,,,,,,,,,,,,,,,,,,7/21/2004,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Juvenile,Female,Non-Reproductive,38,10.2,,,,,,,,,,,,,,,,,,,,7/21/2004,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Perimyotis subflavus,Juvenile,Female,Non-Reproductive,34,6,,,,,,,,,,,,,,,,,,,,7/21/2004,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus seminolus,Adult,Female,Pregnant,41,18.1,,,,,,,,,,,,,,,,,,,,6/10/2005,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Lasiurus seminolus,Adult,Female,Pregnant,43,17.4,,,,,,,,,,,,,,,,,,,,6/10/2005,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Adult,Male,Non-Reproductive,33.5,7.6,,,,,,,,,,,,,,,,,,,,6/10/2005,0:00,0:00,,,North Carolina,,,,,,,,,,,
636,,,,Nycticeius humeralis,Adult,Female,Pregnant,36.5,19.4,,,,,,,,,,,,,,,,,,,,6/10/2005,0:00,0:00,,,North Carolina,,,,,,,,,,,
