tax	hdz-095-s300	hdz-158-s301	hdz-159-s302	hdz-171-s303	hdz-172-s304	hdz-237-s305	hdz-238-s306	hdz-239-s307	hdz-268-s308	hdz-269-s309	hdz-270-s310	hdz-271-s311	hdz-272-s312	hdz-273-s313	hdz-274-s314	hdz-329-s315	hdz-344-s316	hdz-346-s317	hdz-347-s318	hdz-412-s319	hdz-413-s320	hdz-414-s321	hdz-450-s322	pl-ntc-014-ctrl	total
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella grimontii	0	0	97	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	101
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Evtepia;Evtepia gabavorous	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	19	0	5	0	0	0	0	95
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium massiliamazoniense	0	0	0	0	0	0	0	0	0	1	33	3	38	4	9	0	0	0	0	0	0	2	0	0	90
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Kineothrix;Kineothrix alysoides	7	6	1	0	1	3	1	1	5	3	4	5	1	2	3	1	26	7	0	5	0	8	0	0	90
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter oryzae	2	0	0	11	0	1	0	25	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	89
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Ihubacter;Ihubacter massiliensis	1	1	0	0	0	2	0	0	5	4	0	3	1	2	1	0	47	19	0	0	0	0	0	1	87
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Duncaniella;Duncaniella dubosii	8	2	1	0	0	0	2	0	6	3	14	17	4	1	4	0	2	10	2	4	0	4	3	0	87
Bacteria;Bacteria_none;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Bullifex;Bullifex porci	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	41	39	0	1	0	3	0	0	87
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parolsenella;Parolsenella catena	2	2	1	0	2	1	2	0	7	3	17	10	3	2	6	1	5	5	13	0	0	3	2	0	87
Bacteria;Bacteria_none;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Parafannyhessea;Parafannyhessea umbonata	10	8	0	0	0	4	0	9	20	1	4	0	1	3	1	2	14	5	1	1	0	1	2	0	87
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium neonatale	0	0	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	52	0	0	83
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus	5	0	0	0	0	4	0	0	1	1	4	9	6	4	0	0	26	12	0	2	0	6	0	0	80
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;Sutterella faecalis	1	1	0	1	0	1	1	0	0	3	6	2	8	8	7	0	2	2	3	1	0	0	33	0	80
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lacrimispora;Lacrimispora celerecrescens	6	5	1	0	0	2	1	0	0	6	5	1	3	2	5	0	30	8	0	4	0	1	0	0	80
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Anaerotignum;Anaerotignum aminivorans	8	1	0	2	1	0	0	0	1	2	0	0	0	0	0	0	39	13	0	10	0	0	0	0	77
