"identifier"	"subject"	"rel_biscuit"	"rel_HDZ_oatgel"	"rel_invertebrates"	"rel_protein_rotate"	"rel_gum_arabic"	"rel_seasonal_veggies"	"biscuit"	"gum_arabic"	"invertebrates"	"protein_rotate"	"seasonal_veggies"	"HDZ_oatgel"
"HDZ-257-E1"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-258-S162"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-256-E1"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-259-S163"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-269-S309"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-274-S314"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-255-E1"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-245-S145"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-251-S151"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-253-S153"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-323-S134"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-252-S152"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-246-S146"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-249-S149"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-240-S140"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-247-S147"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-250-S150"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-272-S312"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-248-S148"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-270-S310"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-267-S255"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-273-S313"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-265-S205"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-262-S165"	"culi"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-271-S311"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-203-S203"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-209-S104"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-202-E1-S348"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-207-S102"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-266-S254"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-260-S164"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-204-S249"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-205-S101"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-208-S103"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-394-S271"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-411-E1-S350"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-254-S154"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-194-S87"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-201-E1-S347"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-200-S100"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-197-S202"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-196-S76"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
"HDZ-239-S307"	"warble"	13200	0	10000	2100	12000	15000	13200	12000	10000	2100	15000	0
"HDZ-238-S306"	"culi"	13200	5000	8000	2100	12000	20000	13200	12000	8000	2100	20000	5000
