"subj_day"	"identifier"	"SampleID"	"ExtractID"	"SequenceID"
"warble_69"	"hdz-107-s55"	"hdz-107"	"hdz-107-e1"	"hdz-107-s55"
"culi_73"	"hdz-190-s59"	"hdz-190"	"hdz-190-e1"	"hdz-190-s59"
"warble_73"	"hdz-193-s70"	"hdz-193"	"hdz-193-e1"	"hdz-193-s70"
"culi_74"	"hdz-192-s75"	"hdz-192"	"hdz-192-e1"	"hdz-192-s75"
"warble_74"	"hdz-191-s56"	"hdz-191"	"hdz-191-e1"	"hdz-191-s56"
"culi_75"	"hdz-264-s167"	"hdz-264"	"hdz-264-e1"	"hdz-264-s167"
"warble_75"	"hdz-268-s308"	"hdz-268"	"hdz-268-e1"	"hdz-268-s308"
"culi_76"	"hdz-263-s166"	"hdz-263"	"hdz-263-e1"	"hdz-263-s166"
"warble_76"	"hdz-257-e1"	"hdz-257"	"hdz-257-e1"	NA
"culi_77"	"hdz-258-s162"	"hdz-258"	"hdz-258-e1"	"hdz-258-s162"
"culi_80"	"hdz-256-e1"	"hdz-256"	"hdz-256-e1"	NA
"warble_80"	"hdz-259-s163"	"hdz-259"	"hdz-259-e1"	"hdz-259-s163"
"culi_81"	"hdz-269-s309"	"hdz-269"	"hdz-269-e1"	"hdz-269-s309"
"culi_82"	"hdz-274-s314"	"hdz-274"	"hdz-274-e1"	"hdz-274-s314"
"warble_82"	"hdz-255-e1"	"hdz-255"	"hdz-255-e1"	NA
"culi_83"	"hdz-245-s145"	"hdz-245"	"hdz-245-e1"	"hdz-245-s145"
"warble_83"	"hdz-251-s151"	"hdz-251"	"hdz-251-e1"	"hdz-251-s151"
"culi_84"	"hdz-253-s153"	"hdz-253"	"hdz-253-e1"	"hdz-253-s153"
"warble_84"	"hdz-323-s134"	"hdz-323"	"hdz-323-e1"	"hdz-323-s134"
"culi_85"	"hdz-252-s152"	"hdz-252"	"hdz-252-e1"	"hdz-252-s152"
"warble_85"	"hdz-246-s146"	"hdz-246"	"hdz-246-e1"	"hdz-246-s146"
"culi_86"	"hdz-249-s149"	"hdz-249"	"hdz-249-e1"	"hdz-249-s149"
"culi_87"	"hdz-240-s140"	"hdz-240"	"hdz-240-e1"	"hdz-240-s140"
"warble_87"	"hdz-247-s147"	"hdz-247"	"hdz-247-e1"	"hdz-247-s147"
"culi_88"	"hdz-250-s150"	"hdz-250"	"hdz-250-e1"	"hdz-250-s150"
"culi_88"	"hdz-272-s312"	"hdz-272"	"hdz-272-e1"	"hdz-272-s312"
"warble_88"	"hdz-248-s148"	"hdz-248"	"hdz-248-e1"	"hdz-248-s148"
"culi_89"	"hdz-270-s310"	"hdz-270"	"hdz-270-e1"	"hdz-270-s310"
"warble_89"	"hdz-267-s255"	"hdz-267"	"hdz-267-e1"	"hdz-267-s255"
"culi_90"	"hdz-273-s313"	"hdz-273"	"hdz-273-e1"	"hdz-273-s313"
"warble_90"	"hdz-265-s205"	"hdz-265"	"hdz-265-e1"	"hdz-265-s205"
"culi_91"	"hdz-262-s165"	"hdz-262"	"hdz-262-e1"	"hdz-262-s165"
"culi_92"	"hdz-271-s311"	"hdz-271"	"hdz-271-e1"	"hdz-271-s311"
"culi_93"	"hdz-203-s203"	"hdz-203"	"hdz-203-e1"	"hdz-203-s203"
"warble_93"	"hdz-209-s104"	"hdz-209"	"hdz-209-e1"	"hdz-209-s104"
"culi_94"	"hdz-202-e1-s348"	"hdz-202"	"hdz-202-e1"	"hdz-202-e1-s348"
"warble_94"	"hdz-207-s102"	"hdz-207"	"hdz-207-e1"	"hdz-207-s102"
"culi_95"	"hdz-266-s254"	"hdz-266"	"hdz-266-e1"	"hdz-266-s254"
"warble_95"	"hdz-260-s164"	"hdz-260"	"hdz-260-e1"	"hdz-260-s164"
"culi_96"	"hdz-204-s249"	"hdz-204"	"hdz-204-e1"	"hdz-204-s249"
"warble_96"	"hdz-205-s101"	"hdz-205"	"hdz-205-e1"	"hdz-205-s101"
"unknown_NA"	"hdz-206-s139"	"hdz-206"	"hdz-206-e1"	"hdz-206-s139"
"warble_97"	"hdz-208-s103"	"hdz-208"	"hdz-208-e1"	"hdz-208-s103"
"culi_99"	"hdz-394-s271"	"hdz-394"	"hdz-394-e1"	"hdz-394-s271"
"warble_99"	"hdz-411-e1-s350"	"hdz-411"	"hdz-411-e1"	"hdz-411-e1-s350"
"culi_100"	"hdz-254-s154"	"hdz-254"	"hdz-254-e1"	"hdz-254-s154"
"warble_100"	"hdz-194-s87"	"hdz-194"	"hdz-194-e1"	"hdz-194-s87"
"culi_101"	"hdz-201-e1-s347"	"hdz-201"	"hdz-201-e1"	"hdz-201-e1-s347"
"warble_101"	"hdz-200-s100"	"hdz-200"	"hdz-200-e1"	"hdz-200-s100"
"culi_102"	"hdz-197-s202"	"hdz-197"	"hdz-197-e1"	"hdz-197-s202"
"culi_103"	"hdz-196-s76"	"hdz-196"	"hdz-196-e1"	"hdz-196-s76"
"warble_103"	"hdz-239-s307"	"hdz-239"	"hdz-239-e1"	"hdz-239-s307"
"culi_104"	"hdz-238-s306"	"hdz-238"	"hdz-238-e1"	"hdz-238-s306"
"warble_104"	"hdz-199-s86"	"hdz-199"	"hdz-199-e1"	"hdz-199-s86"
"culi_105"	"hdz-235-s282"	"hdz-235"	"hdz-235-e1"	"hdz-235-s282"
"warble_105"	"hdz-234-s281"	"hdz-234"	"hdz-234-e1"	"hdz-234-s281"
"culi_106"	"hdz-198-s88"	"hdz-198"	"hdz-198-e1"	"hdz-198-s88"
"warble_106"	"hdz-237-s305"	"hdz-237"	"hdz-237-e1"	"hdz-237-s305"
"culi_107"	"hdz-326-s137"	"hdz-326"	"hdz-326-e1"	"hdz-326-s137"
"warble_107"	"hdz-307-s116"	"hdz-307"	"hdz-307-e1"	"hdz-307-s116"
"culi_108"	"hdz-330-s323"	"hdz-330"	"hdz-330-e1"	"hdz-330-s323"
"warble_108"	"hdz-315-s127"	"hdz-315"	"hdz-315-e1"	"hdz-315-s127"
"culi_109"	"hdz-318-s156"	"hdz-318"	"hdz-318-e1"	"hdz-318-s156"
"warble_109"	"hdz-306-s115"	"hdz-306"	"hdz-306-e1"	"hdz-306-s115"
"culi_110"	"hdz-336-s159"	"hdz-336"	"hdz-336-e1"	"hdz-336-s159"
"warble_110"	"hdz-331-s324"	"hdz-331"	"hdz-331-e1"	"hdz-331-s324"
"culi_111"	"hdz-317-s155"	"hdz-317"	"hdz-317-e1"	"hdz-317-s155"
"warble_111"	"hdz-303-s112"	"hdz-303"	"hdz-303-e1"	"hdz-303-s112"
"warble_112"	"hdz-312-s121"	"hdz-312"	"hdz-312-e1"	"hdz-312-s121"
"culi_113"	"hdz-308-s117"	"hdz-308"	"hdz-308-e1"	"hdz-308-s117"
"warble_113"	"hdz-304-s113"	"hdz-304"	"hdz-304-e1"	"hdz-304-s113"
"culi_114"	"hdz-314-s126"	"hdz-314"	"hdz-314-e1"	"hdz-314-s126"
"warble_114"	"hdz-313-s125"	"hdz-313"	"hdz-313-e1"	"hdz-313-s125"
"culi_115"	"hdz-319-s157"	"hdz-319"	"hdz-319-e1"	"hdz-319-s157"
"culi_116"	"hdz-324-s135"	"hdz-324"	"hdz-324-e1"	"hdz-324-s135"
"warble_116"	"hdz-329-s315"	"hdz-329"	"hdz-329-e1"	"hdz-329-s315"
"culi_117"	"hdz-305-s114"	"hdz-305"	"hdz-305-e1"	"hdz-305-s114"
