sampleID	alias	collection	subject	seqrun	barcode	tech_replicates	kit	flow_cell	flow_cell_id	protocol_group_id	ster_mgpml	ster_dose_ml	ster_npday	ster_mgpday	diet_trial	location	med_type	med_name	mgpml	dose_ml	dose_npday	mg_p_day	warble_cycle	access	culi_trial	bristol_min	bristol_max	bristol_mean	note_type	note_detail
hdz-175	hdz-175-s61	2023-12-13	culi	hdz3	barcode15	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	3	3	3	none	none
hdz-177	hdz-177-s47	2023-12-13	warble	hdz3	barcode01	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	probiotic_oat	NA	NA	NA	none	none
hdz-167	hdz-167-s198	2023-12-14	culi	hdz9	barcode14	1	SQK-16S114-24	FLO-FLG114	AWN500	PL8-9	10	0.01	1	0.1	steroid	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	3	3	3	none	none
hdz-157	hdz-157-s241	2023-12-14	warble	hdz11	barcode11	1	SQK-16S114-24	FLO-FLG114	AVN953	HDZ-PL011	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	NA	NA	NA	none	none
hdz-173	hdz-173-s246	2023-12-14	warble	hdz11	barcode16	1	SQK-16S114-24	FLO-FLG114	AVN953	HDZ-PL011	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	NA	NA	NA	none	none
hdz-060	hdz-060-s80	2023-12-15	culi	hdz4	barcode11	1	SQK-16S114-24	FLO-FLG114	AUD364	HDZ-PL-004	10	0.01	1	0.1	steroid	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	5	6	5.5	none	none
hdz-156	hdz-156-s68	2023-12-15	culi	hdz3	barcode22	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	10	0.01	1	0.1	steroid	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	5	6	5.5	none	none
hdz-155	hdz-155-s67	2023-12-15	warble	hdz3	barcode21	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	NA	NA	NA	none	none
hdz-174	hdz-174-s247	2023-12-16	culi	hdz11	barcode17	1	SQK-16S114-24	FLO-FLG114	AVN953	HDZ-PL011	10	0.01	1	0.1	steroid	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	3	3	3	none	none
hdz-161	hdz-161-s77	2023-12-16	warble	hdz4	barcode08	1	SQK-16S114-24	FLO-FLG114	AUD364	HDZ-PL-004	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	NA	NA	NA	none	none
hdz-168	hdz-168-s58	2023-12-17	culi	hdz3	barcode12	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	10	0.01	1	0.1	steroid	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	3	3	3	none	none
hdz-162	hdz-162-s243	2023-12-17	warble	hdz11	barcode13	1	SQK-16S114-24	FLO-FLG114	AVN953	HDZ-PL011	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	NA	NA	NA	none	none
hdz-169	hdz-169-s244	2023-12-18	culi	hdz11	barcode14	1	SQK-16S114-24	FLO-FLG114	AVN953	HDZ-PL011	10	0.01	1	0.1	steroid	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	3	3	3	none	none
hdz-170	hdz-170-s245	2023-12-18	warble	hdz11	barcode15	1	SQK-16S114-24	FLO-FLG114	AVN953	HDZ-PL011	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	NA	NA	NA	none	none
hdz-163	hdz-163-s82	2023-12-19	culi	hdz4	barcode13	1	SQK-16S114-24	FLO-FLG114	AUD364	HDZ-PL-004	10	0.01	1	0.1	steroid	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	3	3	3	none	none
hdz-084	hdz-084-s35	2023-12-21	culi	hdz2	barcode12	1	SQK-16S114-24	FLO-FLG114	AUD789	HDZ-PL-002	10	0.01	1	0.1	steroid	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	3	3	3	none	none
hdz-099	hdz-099-s72	2023-12-21	warble	hdz4	barcode03	1	SQK-16S114-24	FLO-FLG114	AUD364	HDZ-PL-004	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	NA	NA	NA	none	none
hdz-098	hdz-098-s238	2023-12-22	culi	hdz11	barcode08	1	SQK-16S114-24	FLO-FLG114	AVN953	HDZ-PL011	10	0.01	1	0.1	steroid	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	3	3	3	none	none
hdz-103	hdz-103-s239	2023-12-22	warble	hdz11	barcode09	1	SQK-16S114-24	FLO-FLG114	AVN953	HDZ-PL011	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	NA	NA	NA	none	none
hdz-102	hdz-102-s96	2023-12-23	culi	hdz5	barcode04	1	SQK-16S114-24	FLO-FLG114	AVI712	HDZ-PL-005	10	0.01	1	0.1	steroid	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	3	3	3	none	none
hdz-093	hdz-093-s65	2023-12-23	warble	hdz3	barcode19	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	NA	NA	NA	none	none
hdz-089	hdz-089-s64	2023-12-24	culi	hdz3	barcode18	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	10	0.01	1	0.1	steroid	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	3	3	3	none	none
hdz-101	hdz-101-s57	2023-12-24	warble	hdz3	barcode11	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	NA	NA	NA	none	none
hdz-097	hdz-097-s91	2023-12-25	culi	hdz4	barcode22	1	SQK-16S114-24	FLO-FLG114	AUD364	HDZ-PL-004	10	0.01	1	0.1	steroid	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	3	3	3	none	none
hdz-092	hdz-092-s237	2023-12-25	warble	hdz11	barcode07	1	SQK-16S114-24	FLO-FLG114	AVN953	HDZ-PL011	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	NA	NA	NA	none	none
hdz-088	hdz-088-s234	2023-12-26	culi	hdz11	barcode04	1	SQK-16S114-24	FLO-FLG114	AVN953	HDZ-PL011	10	0.01	1	0.1	steroid	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	3	3	3	none	none
hdz-083	hdz-083-s39	2023-12-26	warble	hdz2	barcode17	1	SQK-16S114-24	FLO-FLG114	AUD789	HDZ-PL-002	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	NA	NA	NA	none	none
hdz-108	hdz-108-s60	2023-12-27	culi	hdz3	barcode14	1	SQK-16S114-24	FLO-FLG114	AUA949	HDZ-PL-003	10	0.01	1	0.1	steroid	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	3	5	4	none	none
hdz-096	hdz-096-s95	2023-12-27	warble	hdz5	barcode03	1	SQK-16S114-24	FLO-FLG114	AVI712	HDZ-PL-005	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	NA	NA	NA	none	none
hdz-091	hdz-091-s236	2023-12-28	culi	hdz11	barcode06	1	SQK-16S114-24	FLO-FLG114	AVN953	HDZ-PL011	10	0.01	1	0.1	steroid	old_enclosure	none	none	0	0	0	0	not_estrus	separated	steroid	3	3	3	none	none
