"ID"	"hdz.013"	"hdz.014"	"hdz.021"	"hdz.011"	"hdz.010"	"hdz.016"	"hdz.026"	"hdz.024"	"hdz.020"	"hdz.035"	"hdz.040"	"hdz.047"	"hdz.054"	"hdz.069"	"hdz.064"	"hdz.063"	"hdz.057"	"hdz.071"	"hdz.065"	"hdz.187"	"hdz.184"	"hdz.181"	"hdz.180"	"hdz.167"	"hdz.060"	"hdz.174"	"hdz.163"	"hdz.098"	"hdz.102"	"hdz.097"	"hdz.087"	"hdz.085"	"hdz.192"	"hdz.264"	"hdz.258"	"hdz.274"	"hdz.252"	"hdz.249"	"hdz.240"	"hdz.272"	"hdz.250"	"hdz.270"	"hdz.273"	"hdz.262"	"hdz.271"	"hdz.203"	"hdz.266"	"hdz.394"	"hdz.196"	"hdz.235"	"hdz.198"	"hdz.326"	"hdz.330"	"hdz.318"	"hdz.317"	"hdz.308"	"hdz.314"	"hdz.319"	"hdz.324"	"hdz.305"	"hdz.310"	"hdz.320"	"hdz.301"	"hdz.241"	"hdz.327"	"hdz.236"	"hdz.230"	"hdz.222"	"hdz.398"	"hdz.339"	"hdz.321"	"hdz.221"	"hdz.408"	"hdz.219"	"hdz.220"	"hdz.392"	"hdz.229"	"hdz.405"	"hdz.350"	"hdz.224"	"hdz.215"	"hdz.227"	"hdz.226"	"hdz.388"	"hdz.352"	"hdz.354"	"hdz.361"	"hdz.452"	"hdz.426"	"hdz.442"	"hdz.445"	"hdz.311"
"txid2606635"	38	12	6	5	22	11	25	30	14	11	15	26	5	7	2	10	11	3	12	10	13	9	17	8	9	22	10	6	1	7	5	10	10	4	12	14	5	1	3	4	3	11	11	4	11	7	13	5	39	14	8	6	23	14	13	22	26	8	15	11	19	12	7	3	3	5	4	6	9	2	3	11	17	13	11	5	18	12	25	22	10	8	3	9	0	0	0	0	7	0	0	29
"txid2763667"	22	12	13	4	5	14	15	40	11	11	22	27	17	17	18	19	9	10	18	28	32	28	34	23	24	31	14	8	6	17	6	25	10	8	13	31	16	9	4	14	10	19	22	12	16	30	24	10	58	10	23	18	38	21	20	39	66	9	31	5	43	17	18	14	5	7	26	32	11	5	2	17	46	28	23	7	11	16	24	26	20	16	9	22	4	0	0	0	19	0	0	45
"txid169435"	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	6	1	2	1	0	2	1	0	1	2	0	3	1	1	2	1	2	1	0	0	0	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	12	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"txid292800"	22	8	5	1	1	5	46	18	3	7	34	9	6	9	5	4	9	10	23	29	20	16	5	11	13	8	8	10	7	12	3	15	8	1	7	6	2	0	2	4	2	5	5	1	8	16	29	7	5	29	70	20	44	7	2	1	8	6	15	16	19	21	26	6	15	23	8	6	1	2	2	61	49	27	46	6	47	23	3	15	3	0	0	18	0	5	0	0	17	14	40	19
"txid2741"	1	3	0	1	0	3	5	3	0	0	1	2	5	5	0	1	0	2	0	2	1	3	9	1	3	9	1	0	1	17	1	3	1	1	2	6	0	0	1	4	3	7	5	4	5	3	1	5	21	5	3	5	2	0	2	0	5	3	2	2	2	1	2	2	0	0	4	3	17	0	1	0	4	4	2	46	3	6	0	0	2	2	2	5	0	0	0	2	8	0	0	2
"txid1115758"	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	2	0	4	0	2	0	0	2	0	3	0	17	24	0	1	0	4	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
"txid1702285"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	2	8	6	16	0	18	29	14	3	18	19	15	2	2	2	17	2	0	1	4	2	15	5	5	9	19	11	1	1	0	8	12	13	7	14	3	8	16	15	6	3	13	8	19	3	0	4	14	3	1	0	1	61	11	0	0	0	1	1	1	8	2	1	6	0	0	0	0	26	0	0	7
"txid2606629"	2	7	1	5	2	3	2	4	2	5	9	4	5	1	0	4	5	5	4	4	4	1	1	2	2	1	1	0	0	6	1	4	3	2	2	1	0	0	4	0	1	2	1	1	1	1	1	3	1	1	2	1	4	4	3	0	0	3	1	1	1	6	0	5	0	2	4	3	2	3	0	1	3	0	0	0	0	5	1	1	4	1	3	1	0	5	2	0	0	5	1	0
"txid2654621"	225	171	189	34	40	188	292	902	114	185	536	318	324	279	3	323	347	385	356	366	531	680	475	269	475	494	236	288	15	156	246	380	211	90	227	357	9	0	100	400	381	316	473	315	346	350	495	277	480	214	414	218	491	413	354	520	586	266	444	271	564	324	779	346	184	259	368	324	442	121	52	340	58	40	289	478	225	261	400	508	315	71	140	330	2	0	0	0	85	1	0	428
"txid742816"	397	688	592	766	1234	913	570	648	552	380	1281	391	1170	1162	750	1625	1587	918	988	525	643	1066	679	910	772	1013	925	1014	760	1369	944	1057	567	1719	652	1101	913	1460	639	1493	1439	1434	1577	1584	1032	1143	1050	777	1137	655	330	795	804	646	1113	617	347	956	945	533	599	738	944	1189	582	391	744	605	677	1488	1484	1226	205	152	712	469	1634	868	1093	584	1458	1343	842	920	1116	1091	435	2	750	811	488	589
