"SequenceID"	"LibraryCode"	"LibraryTube"	"LibraryBarcode"	"ExtractID"	"SampVolPool"	"TotalPoolVol"	"BeadVol"	"Conc_QC2"	"reads_unclassified"	"FlowCellSerial"	"protocol_group_id"	"SeqRunID"	"SeqDate"	"SeqDateTime"	"SampleSet"	"LibPrepDate"	"LibPrepWorkflow"	"LibPrepKit"	"FlowCellType"	"FlongleAdapter"	"SeqDevice"	"strands"	"fragment_type"	"Length"	"InputMassStart"	"TemplateVolPrep"	"PoolSamples"	"InputMassFinal"	"ExtractDate"	"ExtractedBy"	"ExtractKit"	"SampleID"	"ExtractBox"	"ExtractNotes"	"ExtractConc"	"SampleCollectedBy"	"SampleNotes"	"CollectionDate"	"Subject"	"Subj_Certainty"
"HDZ-416-S220"	"hdz10"	13	13	"HDZ-416-E1"	NA	NA	NA	NA	4011	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-07-26	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-416"	"HDZ Loris DNA Extracts Box 4"	""	45	"HDZ Keepers"	""	2024-06-21	"Warble"	"yes"
"HDZ-417-S221"	"hdz10"	14	14	"HDZ-417-E1"	NA	NA	NA	NA	3401	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-07-26	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-417"	"HDZ Loris DNA Extracts Box 4"	""	57	"HDZ Keepers"	""	2024-06-23	"Warble"	"yes"
"HDZ-421-S222"	"hdz10"	15	15	"HDZ-421-E1"	NA	NA	NA	NA	4981	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-07-26	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-421"	"HDZ Loris DNA Extracts Box 4"	""	34	"HDZ Keepers"	""	2024-06-18	"Unknown"	"no"
"HDZ-423-S223"	"hdz10"	16	16	"HDZ-423-E1"	NA	NA	NA	NA	2315	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-07-26	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-423"	"HDZ Loris DNA Extracts Box 4"	""	77	"HDZ Keepers"	""	2024-06-17	"Warble"	"yes"
"HDZ-424-S224"	"hdz10"	17	17	"HDZ-424-E1"	NA	NA	NA	NA	5065	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-06	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-424"	"HDZ Loris DNA Extracts Box 5"	""	43	"HDZ Keepers"	""	2024-05-13	"Warble"	"yes"
"HDZ-425-S225"	"hdz10"	18	18	"HDZ-425-E1"	NA	NA	NA	NA	5010	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-06	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-425"	"HDZ Loris DNA Extracts Box 5"	""	55	"HDZ Keepers"	""	2024-05-08	"Warble"	"yes"
"HDZ-426-S226"	"hdz10"	19	19	"HDZ-426-E1"	NA	NA	NA	NA	2074	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-06	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-426"	"HDZ Loris DNA Extracts Box 5"	""	41	"HDZ Keepers"	""	2024-05-08	"Culi"	"yes"
"HDZ-431-S227"	"hdz10"	20	20	"HDZ-431-E1"	NA	NA	NA	NA	3587	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-06	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-431"	"HDZ Loris DNA Extracts Box 5"	""	21	"HDZ Keepers"	""	2024-05-07	"Warble"	"yes"
"HDZ-432-S228"	"hdz10"	21	21	"HDZ-432-E1"	NA	NA	NA	NA	5895	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-06	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-432"	"HDZ Loris DNA Extracts Box 5"	""	40	"HDZ Keepers"	""	2024-05-04	"Warble"	"yes"
"HDZ-433-S229"	"hdz10"	22	22	"HDZ-433-E1"	NA	NA	NA	NA	2754	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-06	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-433"	"HDZ Loris DNA Extracts Box 5"	""	52	"HDZ Keepers"	""	2024-05-07	"Culi"	"yes"
"HDZ-434-S230"	"hdz10"	23	23	"HDZ-434-E1"	NA	NA	NA	NA	6233	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-08-06	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-434"	"HDZ Loris DNA Extracts Box 5"	""	55	"HDZ Keepers"	""	2024-05-09	"Culi"	"yes"
"PL-NTC-010-CTRL"	"hdz10"	24	24	"PL-NTC-010-E1"	NA	NA	NA	NA	1	"AXK913"	"PL10-11"	"PL010"	2024-08-21	2024-08-21 19:58:28.002915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HDZ-001-S231"	"hdz11"	1	1	"HDZ-001-E1"	NA	NA	NA	NA	15054	"AVN953"	"HDZ-PL011"	"PL011"	2024-08-21	2024-08-21 21:19:53.872014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-07-26	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ-001"	"HDZ Loris DNA Extracts Box 4"	""	39	"HDZ Keepers"	""	2023-11-04	"Warble"	"yes"
