"Taxa"	"iris16"	"iris17"	"iris22"	"iris36"	"iris44"	"iris46"	"iris59"	"iris60"
"CO2 -- Production"	0.0124439720436792	0.00782097985279905	0.000922102804217084	0.00286374700840714	0.00372403203813409	0.00469471424321982	0.00350191383663165	0.0120793787748059
"CO2 -- Consumption"	0.0122835340479509	0.00771689837186826	0.000881120457362991	0.00253646163601776	0.00355215363637405	0.00434552062182331	0.00336618074218856	0.0118636755823986
"Formate -- Production"	0.00876392551666048	0.00496617351869749	0.000686454309806051	0.0153619571665269	0.0026354688269872	0.00653121402982372	0.00206314303553492	0.00506183491515674
"NH3 (Ammonia, NH4+, Ammonium) -- Consumption"	0.0121531781764216	0.00758307932495725	0.000850383697222421	0.00253646163601776	0.0034719437155527	0.00417739035966943	0.00314900779107962	0.0117198734541271
"Xylan -- Macromolecule"	0.00831269365367453	0.00508512378261839	0.000614735202811389	0.000838668766747806	0.0019937894604164	0.00227622508762173	0.00173738360887152	0.00619787172850158
"D-Ribose (Ribose) -- Consumption"	0.00272744592738175	0.00138279681808044	0.000624980789524912	0.0131936915744472	0.00197087234018173	0.00192703146622522	0.00116730461221055	0.00359505320678746
"FOS (Fructooligosaccharide) -- Consumption"	0.00443209963199535	0.00310757564493346	0.000614735202811389	0.00190234622701332	0.00223441922288045	0.00257368632066321	0.00146591741998534	0.00716134598792062
"Ethanol -- Production"	0.00116317546903045	0.000579882536614378	0.000399577881827403	0.0148096631006198	0.00121460737243758	0.000982915378745748	0.000298612807774792	0.00182628702904803
"Butyrate -- Production"	0.00164448945621547	0.000728570366515501	0.0016392938741637	0.00413197782641602	0.00387299331965945	0.00292287994205972	0.00217172951108939	0.00100661489790049
"Pectin -- Macromolecule"	0.00240656993592508	0.00114489629023864	0.000543016095816727	0.000736392087876122	0.00176461825806969	0.00193996456331398	0.00116730461221055	0.00330744895024446
"Isovalerate (3-Methylbutanoic acid) -- Production"	0.00232635093806091	0.0010854211582782	0.000522524922389681	0.000593204737455765	0.00175315969795236	0.00209516172837909	0.00111301137443331	0.00343687086568881
"D-Galacturonate -- Consumption"	0.00166454420568151	0.000981339677347409	0.000420069055254449	0.000286374700840714	0.00111148033138156	0.00120277802925467	0.000651518853326818	0.00349439171699741
"D-Glucuronic acid (D-Glucuronate) -- Consumption"	0.00166454420568151	0.000981339677347409	0.000420069055254449	0.000286374700840714	0.00111148033138156	0.00120277802925467	0.000651518853326818	0.00349439171699741
"D-Glucosamine (Glucosamine) -- Consumption"	0.00164448945621547	0.000981339677347409	0.000409823468540926	0.000388651379712398	0.00106564609091222	0.00116397873798839	0.000651518853326818	0.00345125107851596
"N-Acetyl-D-Glucosamine (N-Acetylglucosamine) -- Consumption"	0.00167457158041453	0.00110028994126831	0.000471296988822065	0.000286374700840714	0.00119169025220291	0.00133210900014226	0.000787251947769905	0.00266033937302272
"NH3 (Ammonia, NH4+, Ammonium) -- Production"	0.00147402408575411	0.000847520630436399	0.000420069055254449	0.000552294065907092	0.00113439745161623	0.00118984493216591	0.000542932377772348	0.00232959447799827
"L-Fucose -- Consumption"	0.00162443470674943	0.000996208460337522	0.000420069055254449	0.000286374700840714	0.00111148033138156	0.00121571112634343	0.000624372234438201	0.00220017256255393
"Putrescine -- Production"	0.00136372296369088	0.000743439149505613	0.000399577881827403	0.000265919365066378	0.00103127041056021	0.00111224634963335	0.000461492521106496	0.00222893298820823
"Butylamine -- Production"	0.00136372296369088	0.000743439149505613	0.000399577881827403	0.000265919365066378	0.00103127041056021	0.00111224634963335	0.000461492521106496	0.00220017256255393
"Chondroitin 4-sulfate (Chondroitin 6-sulfate) -- Macromolecule"	0.00136372296369088	0.000743439149505613	0.000399577881827403	0.000265919365066378	0.00103127041056021	0.00111224634963335	0.000461492521106496	0.00220017256255393
"Dimethylamine -- Production"	0.00136372296369088	0.000743439149505613	0.000399577881827403	0.000265919365066378	0.00103127041056021	0.00111224634963335	0.000461492521106496	0.00220017256255393
"Galactan -- Macromolecule"	0.00136372296369088	0.000743439149505613	0.000399577881827403	0.000265919365066378	0.00103127041056021	0.00111224634963335	0.000461492521106496	0.00220017256255393
"Hyaluronan (Hyaluronate, Hyaluronic acid) -- Macromolecule"	0.00136372296369088	0.000743439149505613	0.000399577881827403	0.000265919365066378	0.00103127041056021	0.00111224634963335	0.000461492521106496	0.00220017256255393
"Menaquinone (Vitamin K2) -- Production"	0.00136372296369088	0.000743439149505613	0.000399577881827403	0.000265919365066378	0.00103127041056021	0.00111224634963335	0.000461492521106496	0.00220017256255393
"N-Acetylgalactosamine (N-Acetyl-D-galactosamine) -- Consumption"	0.00136372296369088	0.000743439149505613	0.000399577881827403	0.000265919365066378	0.00103127041056021	0.00111224634963335	0.000461492521106496	0.00220017256255393
"Phenylethylamine -- Production"	0.00136372296369088	0.000743439149505613	0.000399577881827403	0.000265919365066378	0.00103127041056021	0.00111224634963335	0.000461492521106496	0.00220017256255393
"Tyramine -- Production"	0.00136372296369088	0.000743439149505613	0.000399577881827403	0.000265919365066378	0.00103127041056021	0.00111224634963335	0.000461492521106496	0.00220017256255393
"D-Psicose -- Consumption"	0.00103281959750118	0.000728570366515501	0.000276630841265125	0.000552294065907092	0.000916684809386852	0.000775985825325591	0.000352906045552027	0.00156744319815933
"N-Acetylneuraminic acid (N-acetylneuraminate, Neu5Ac, Sialic acid) -- Consumption"	0.00103281959750118	0.000728570366515501	0.000276630841265125	0.000204553357743367	0.000882309129034845	0.000775985825325591	0.000352906045552027	0.00153868277250503
"Polypeptide -- Macromolecule"	0.00087238160177284	0.000550144970634154	0.000297122014692171	0.000225008693517704	0.000939601929621524	0.000775985825325591	0.000271466188886174	0.00166810468794938
"Isobutyrate (2-Methylpropanoic acid) -- Production"	0.000802189978641692	0.000490669838673705	0.000276630841265125	0.000184098021969031	0.000882309129034845	0.000763052728236831	0.000271466188886174	0.00163934426229508
"Chenodeoxycholic acid (Chenodeoxycholate) -- Consumption"	0.000802189978641692	0.000490669838673705	0.000245894081124556	0.000409106715486735	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
"Cholic acid (Cholate) -- Consumption"	0.000802189978641692	0.000490669838673705	0.000245894081124556	0.000409106715486735	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
"Deoxycholic acid -- Production"	0.000802189978641692	0.000490669838673705	0.000245894081124556	0.000409106715486735	0.000802099208213496	0.000659587951526752	0.000190026332220322	0.00153868277250503
