seqrun	barcode	reads_unclassified	flow_cell_id	protocol_group_id	seq_id	seq_date	seq_start
hdz2	barcode03	1030	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode04	1149	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode05	599	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode06	1445	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode07	676	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode08	1158	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode09	441	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode10	2551	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode11	1376	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode12	2301	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode13	1958	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode14	1646	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode15	2	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode16	189	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode17	2	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode18	325	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode19	0	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode20	0	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode21	9	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode22	4484	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode23	1977	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz2	barcode24	105	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607
hdz3	barcode01	4141	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode02	881	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode03	3140	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
hdz3	barcode04	3285	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653
