alias	seqrun	collection	sampleID	subject	barcode	kit	reads_unclassified	flow_cell_id	protocol_group_id	seq_id	seq_date	seq_start	tech_replicates	ster_mgpml	ster_dose_ml	ster_npday	ster_mgpday	diet_trial	location	med_type	med_name	mgpml	dose_ml	dose_npday	mg_p_day	warble_cycle	access	culi_trial	bristol_min	bristol_max	bristol_mean	note_type	note_detail
hdz-054-s192	hdz9	2023-11-19	hdz-054	culi	barcode08	SQK-16S114-24	16075	AWN500	PL8-9	PL009	2024-08-16	2024-08-16 18:56:41.056086	1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	3	3	none	none
hdz-044-s189	hdz9	2023-11-19	hdz-044	warble	barcode05	SQK-16S114-24	6665	AWN500	PL8-9	PL009	2024-08-16	2024-08-16 18:56:41.056086	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	NA	NA	NA	none	none
hdz-094-s66	hdz3	2023-11-20	hdz-094	culi	barcode20	SQK-16S114-24	2656	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653	1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	3	3	none	none
hdz-104-s69	hdz3	2023-11-20	hdz-104	warble	barcode23	SQK-16S114-24	2606	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	NA	NA	NA	none	none
hdz-058-s63	hdz3	2023-11-21	hdz-058	culi	barcode17	SQK-16S114-24	4247	AUA949	HDZ-PL-003	PL003	2024-06-12	2024-06-12 20:06:58.563653	1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	3	3	3	none	none
hdz-069-s193	hdz9	2023-11-22	hdz-069	culi	barcode09	SQK-16S114-24	14484	AWN500	PL8-9	PL009	2024-08-16	2024-08-16 18:56:41.056086	1	0	0	0	0	probiotic	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	6	6	6	none	none
hdz-079-s25	hdz2	2023-11-22	hdz-079	warble	barcode02	SQK-16S114-24	1333	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic	NA	NA	NA	none	none
hdz-064-s2	hdz1	2023-11-23	hdz-064	culi	barcode02	SQK-16S114-24	18102	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	3	3	3	none	none
hdz-078-s27	hdz2	2023-11-23	hdz-078	culi	barcode04	SQK-16S114-24	1149	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607	1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	3	3	3	none	none
hdz-063-s1	hdz1	2023-11-24	hdz-063	culi	barcode01	SQK-16S114-24	12891	FAX08980	hdz1	PL001	2024-05-16	2024-05-16 19:50:14.694401	1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	3	3	3	none	none
hdz-068-s26	hdz2	2023-11-24	hdz-068	warble	barcode03	SQK-16S114-24	1030	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	NA	NA	NA	none	none
hdz-057-s233	hdz11	2023-11-26	hdz-057	culi	barcode03	SQK-16S114-24	14968	AVN953	HDZ-PL011	PL011	2024-08-21	2024-08-21 21:19:53.872014	1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	3	3	3	none	none
hdz-073-s194	hdz9	2023-11-26	hdz-073	warble	barcode10	SQK-16S114-24	5724	AWN500	PL8-9	PL009	2024-08-16	2024-08-16 18:56:41.056086	1	0	0	0	0	baseline	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	NA	NA	NA	none	none
hdz-077-s38	hdz2	2023-11-27	hdz-077	culi	barcode16	SQK-16S114-24	189	AUD789	HDZ-PL-002	PL002	2024-06-10	2024-06-10 20:32:18.00607	1	0	0	0	0	probiotic_oat	old_enclosure	none	none	0	0	0	0	not_pregnant	separated	probiotic_oat	3	3	3	none	none
