"ID"	"OrderLoc"	"Location"	"StartLoc"	"TypeEvent"	"Date"	"EndLoc"	"Status"	"NameLoc"	"Country"	"Sex"	"Sire"	"Dam"	"DateBirth"
2645	1	"ABQ"	2011-12-07	"End"	2015-01-20	2015-01-20	"D"	"Albuquerque Biological Park"	"United States"	"M"	1131	2414	2011-12-07
2646	1	"ELP"	2013-04-26	"Birth"	2013-04-26	2015-07-07	"A"	"El Paso Zoo"	"United States"	"M"	2449	2632	2013-04-26
2646	2	"CHI"	2015-07-07	"Transfer"	2015-07-07	2025-03-20	"A"	"Lincoln Park Zoological Gardens"	"United States"	"M"	2449	2632	2013-04-26
2646	2	"CHI"	2015-07-07	"End"	2025-03-20	2025-03-20	"A"	"Lincoln Park Zoological Gardens"	"United States"	"M"	2449	2632	2013-04-26
2647	1	"ELP"	2013-04-26	"Birth"	2013-04-26	2015-05-27	"D"	"El Paso Zoo"	"United States"	"F"	2449	2632	2013-04-26
2647	2	"GAR"	2015-05-27	"Transfer"	2015-05-27	2017-03-16	"D"	"Lee Richardson Zoo"	"United States"	"F"	2449	2632	2013-04-26
2647	2	"GAR"	2015-05-27	"End"	2017-03-16	2017-03-16	"D"	"Lee Richardson Zoo"	"United States"	"F"	2449	2632	2013-04-26
2648	1	"DUK"	2012-06-20	"Birth"	2012-06-20	2012-07-03	"D"	"Duke Lemur Center"	"United States"	"M"	2498	2502	2012-06-20
2648	1	"DUK"	2012-06-20	"End"	2012-07-03	2012-07-03	"D"	"Duke Lemur Center"	"United States"	"M"	2498	2502	2012-06-20
2649	1	"DUK"	2012-06-20	"Birth"	2012-06-20	2015-09-10	"A"	"Duke Lemur Center"	"United States"	"M"	2498	2502	2012-06-20
2649	2	"MOO"	2015-09-10	"Transfer"	2015-09-10	2025-03-20	"A"	"Aquarium & Rainforest at Moody Gardens"	"United States"	"M"	2498	2502	2012-06-20
2649	2	"MOO"	2015-09-10	"End"	2025-03-20	2025-03-20	"A"	"Aquarium & Rainforest at Moody Gardens"	"United States"	"M"	2498	2502	2012-06-20
2650	1	"PHI"	2013-01-26	"Birth"	2013-01-26	2013-01-26	"D"	"Philadelphia Zoo"	"United States"	"U"	1130	2436	2013-01-26
2650	1	"PHI"	2013-01-26	"End"	2013-01-26	2013-01-26	"D"	"Philadelphia Zoo"	"United States"	"U"	1130	2436	2013-01-26
2651	1	"PHI"	2013-01-26	"Birth"	2013-01-26	2013-01-26	"D"	"Philadelphia Zoo"	"United States"	"M"	1130	2436	2013-01-26
2651	1	"PHI"	2013-01-26	"End"	2013-01-26	2013-01-26	"D"	"Philadelphia Zoo"	"United States"	"M"	1130	2436	2013-01-26
2652	1	"AKR"	2013-08-21	"Birth"	2013-08-21	2017-06-08	"A"	"Akron Zoological Park"	"United States"	"M"	2408	2418	2013-08-21
2652	2	"OMA"	2017-06-08	"Transfer"	2017-06-08	2025-03-20	"A"	"Omaha's Henry Doorly Zoo"	"United States"	"M"	2408	2418	2013-08-21
2652	2	"OMA"	2017-06-08	"End"	2025-03-20	2025-03-20	"A"	"Omaha's Henry Doorly Zoo"	"United States"	"M"	2408	2418	2013-08-21
2653	1	"ELP"	2014-08-22	"Birth"	2014-08-22	2015-09-21	"A"	"El Paso Zoo"	"United States"	"M"	2449	2632	2014-08-22
2653	2	"ABQ"	2015-09-21	"Transfer"	2015-09-21	2018-12-18	"A"	"Albuquerque Biological Park"	"United States"	"M"	2449	2632	2014-08-22
2653	3	"SOZ"	2018-12-18	"Transfer"	2018-12-18	2019-11-05	"A"	"San Diego Zoo"	"United States"	"M"	2449	2632	2014-08-22
2653	4	"PUE"	2019-11-05	"Transfer"	2019-11-05	2025-03-20	"A"	"Pueblo Zoo"	"United States"	"M"	2449	2632	2014-08-22
2653	4	"PUE"	2019-11-05	"End"	2025-03-20	2025-03-20	"A"	"Pueblo Zoo"	"United States"	"M"	2449	2632	2014-08-22
2654	1	"ELP"	2014-08-22	"Birth"	2014-08-22	2015-09-23	"A"	"El Paso Zoo"	"United States"	"F"	2449	2632	2014-08-22
2654	2	"LIT"	2015-09-23	"Transfer"	2015-09-23	2025-03-20	"A"	"Little Rock Zoological Gardens"	"United States"	"F"	2449	2632	2014-08-22
2654	2	"LIT"	2015-09-23	"End"	2025-03-20	2025-03-20	"A"	"Little Rock Zoological Gardens"	"United States"	"F"	2449	2632	2014-08-22
2655	1	"CLE"	2015-01-22	"Birth"	2015-01-22	2015-01-22	"D"	"Cleveland Metroparks Zoo"	"United States"	"M"	2496	2403	2015-01-22
2655	1	"CLE"	2015-01-22	"End"	2015-01-22	2015-01-22	"D"	"Cleveland Metroparks Zoo"	"United States"	"M"	2496	2403	2015-01-22
2656	1	"CLE"	2015-01-22	"Birth"	2015-01-22	2015-01-22	"D"	"Cleveland Metroparks Zoo"	"United States"	"U"	2496	2403	2015-01-22
