"ID"	"hamlet11"	"hamlet17"	"hamlet22"	"hamlet25"	"hamlet31"	"hamlet41"	"hamlet59"	"hamlet67"
"ko00360"	0.00317550098070213	0.00300098785960986	0.00360002428807058	0.00304778827089043	0.00298020318241199	0.00295515653216929	0.00299525796639055	0.00235930269385951
"ko00361"	0.000236056123848559	0.00028559543575779	0.000459428902591791	0.000215909811264684	0.000228923499522944	0.00025380976747492	0.000214173691627794	0.000476829760488917
"ko00362"	0.00217050911729579	0.00268953605558833	0.00287675848434134	0.00290987138642632	0.00255366628445657	0.00245078565053206	0.00248446100378321	0.00155155230660258
"ko00364"	9.85591009441709e-05	0.000204489335995823	0.000243858252767736	0.000205724075662663	0.000152913486865124	0.00014339215097594	0.000157428675153098	0.000305743432769823
"ko00365"	1.46983849463688e-05	4.14539877719919e-05	1.35163564360901e-05	2.35312023414735e-05	3.45333297729191e-05	3.91743771203436e-05	2.62036847238053e-05	7.63371839281126e-05
"ko00380"	0.00118009975736579	0.00134798912162696	0.0020984096338487	0.00138607293218759	0.00125357310233399	0.00125779056277917	0.00130057913117385	0.00099246379316734
"ko00400"	0.00522550571923088	0.00587398486531255	0.00443206273348796	0.00579222314698748	0.00612766758488223	0.00543216981233985	0.0054215149037202	0.00515779948956886
"ko00401"	0.00128324545575958	0.00146213366490946	0.000921885929143284	0.00136125518141607	0.00150671865013762	0.00129549998568824	0.00128999962386996	0.00124737096516544
"ko00404"	0	0	0	0	8.79140280228742e-07	1.03270649129837e-07	3.51775780804203e-08	0
"ko00405"	0.00034073808145063	0.000499022695010487	0.000530154474866453	0.000503557413486816	0.000483833192268573	0.000445379882148825	0.000454824993466962	0.000498413898837646
"ko00410"	0.00207680890095657	0.00221614505637066	0.00313689941306856	0.00219659059338021	0.00248957040501026	0.00218052483839505	0.00220941378436627	0.00156577678629882
"ko00430"	0.000962229330758183	0.00118983171674751	0.00137545962439322	0.00115317506018015	0.00106607380677507	0.00113852033293141	0.00114688367435599	0.00112944976189866
"ko00440"	0.000500654178922684	0.000499714016362115	0.00104988833043045	0.000506228770920478	0.000456392187958306	0.000494845088421955	0.000562023052564864	0.000478745445309059
"ko00450"	0.00403246463622211	0.00363001381347383	0.00383648902009222	0.00352592637479175	0.00358055475407422	0.00362958882202171	0.00355833324223545	0.00349074144628486
"ko00460"	0.00173486159684777	0.00184146957637507	0.00102695595638479	0.00207924022965765	0.00145442830651655	0.00148578458109856	0.00172809215839497	0.00257010712915253
"ko00471"	0.000918392990758956	0.00101259361943874	0.000870622136101478	0.00106502628974058	0.000995048540881043	0.000926715532719334	0.000962288197002333	0.000946651235308752
"ko00472"	0.000107302809630329	7.24760385514332e-05	6.28207034391279e-05	8.42413545136194e-05	0.000114842601279128	0.000141014085585672	0.000120384494162264	2.8893838833846e-05
"ko00473"	0.000664908575443888	0.000646612717235559	0.000613303810799923	0.000647828853651802	0.000734229494933244	0.000746048854172658	0.000703021744970793	0.000505696580107545
"ko00480"	0.00135156317127974	0.00180061948750452	0.00287532568302134	0.0015753209572264	0.00188522090043913	0.00164643514391556	0.00162003644406834	0.0020967556520054
