task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
109	7e/da643c	4093851	minimap_pipeline:output_results (43)	COMPLETED	0	2024-10-12 16:41:06.211	471ms	11ms	59.0%	0	0	71.2 KB	255 B
106	9e/7fbbec	4093585	minimap_pipeline:output_results (41)	COMPLETED	0	2024-10-12 16:41:06.187	500ms	9ms	53.3%	0	0	71.2 KB	255 B
116	41/cf2fbd	4094599	minimap_pipeline:output_results (48)	COMPLETED	0	2024-10-12 16:41:06.296	396ms	9ms	67.9%	0	0	71.2 KB	255 B
117	ea/207fb8	4094467	minimap_pipeline:output_results (49)	COMPLETED	0	2024-10-12 16:41:06.283	420ms	9ms	50.3%	0	0	71.2 KB	255 B
114	f8/9a461d	4094097	minimap_pipeline:output_results (47)	COMPLETED	0	2024-10-12 16:41:06.242	482ms	12ms	46.5%	0	0	71.2 KB	255 B
108	17/d67921	4093899	minimap_pipeline:output_results (42)	COMPLETED	0	2024-10-12 16:41:06.223	504ms	5ms	0.0%	0	0	71.2 KB	253 B
113	a2/859863	4094312	minimap_pipeline:output_results (46)	COMPLETED	0	2024-10-12 16:41:06.266	473ms	6ms	42.6%	0	0	71.2 KB	255 B
112	68/f4cea4	4094284	minimap_pipeline:output_results (45)	COMPLETED	0	2024-10-12 16:41:06.258	504ms	10ms	43.6%	0	0	71.2 KB	255 B
120	90/2acc07	4095202	minimap_pipeline:output_results (51)	COMPLETED	0	2024-10-12 16:41:06.368	417ms	6ms	27.1%	0	0	71.2 KB	255 B
118	5b/5f5c26	4095095	minimap_pipeline:output_results (50)	COMPLETED	0	2024-10-12 16:41:06.354	438ms	19ms	18.8%	0	0	71.2 KB	255 B
125	bc/dcf780	4095523	minimap_pipeline:output_results (55)	COMPLETED	0	2024-10-12 16:41:06.417	407ms	11ms	33.0%	0	0	71.2 KB	255 B
126	1e/b33e9c	4095559	minimap_pipeline:output_results (56)	COMPLETED	0	2024-10-12 16:41:06.425	416ms	5ms	71.3%	0	0	71.2 KB	255 B
122	b0/b3f05a	4095400	minimap_pipeline:output_results (53)	COMPLETED	0	2024-10-12 16:41:06.397	454ms	7ms	72.7%	0	0	71.2 KB	255 B
121	0c/ded3eb	4095433	minimap_pipeline:output_results (52)	COMPLETED	0	2024-10-12 16:41:06.408	450ms	5ms	52.9%	0	0	71.2 KB	255 B
128	e6/7cc679	4096262	minimap_pipeline:output_results (58)	COMPLETED	0	2024-10-12 16:41:06.499	396ms	7ms	58.1%	0	0	71.2 KB	255 B
127	0c/80d785	4095976	minimap_pipeline:output_results (57)	COMPLETED	0	2024-10-12 16:41:06.469	424ms	5ms	30.3%	0	0	71.2 KB	255 B
134	8d/aaffc5	4096659	minimap_pipeline:output_results (62)	COMPLETED	0	2024-10-12 16:41:06.543	374ms	5ms	64.9%	0	0	71.2 KB	255 B
130	5f/c9ea63	4096172	minimap_pipeline:output_results (59)	COMPLETED	0	2024-10-12 16:41:06.484	436ms	7ms	20.0%	0	0	71.2 KB	255 B
123	cb/869336	4095787	minimap_pipeline:output_results (54)	COMPLETED	0	2024-10-12 16:41:06.443	480ms	8ms	62.1%	0	0	71.2 KB	255 B
131	69/4277d4	4096386	minimap_pipeline:output_results (60)	COMPLETED	0	2024-10-12 16:41:06.508	419ms	6ms	48.6%	0	0	71.2 KB	255 B
135	10/32a5d0	4096901	minimap_pipeline:output_results (63)	COMPLETED	0	2024-10-12 16:41:06.565	368ms	5ms	93.5%	0	0	71.2 KB	255 B
142	31/cf209c	4097198	minimap_pipeline:output_results (68)	COMPLETED	0	2024-10-12 16:41:06.600	362ms	6ms	35.6%	0	0	71.2 KB	255 B
137	0d/2ce6f9	4096956	minimap_pipeline:output_results (64)	COMPLETED	0	2024-10-12 16:41:06.578	394ms	5ms	45.0%	0	0	71.2 KB	255 B
138	31/3efcb4	4097104	minimap_pipeline:output_results (65)	COMPLETED	0	2024-10-12 16:41:06.590	384ms	5ms	40.0%	0	0	71.2 KB	255 B
133	9b/c30f27	4096810	minimap_pipeline:output_results (61)	COMPLETED	0	2024-10-12 16:41:06.555	422ms	5ms	90.0%	0	0	71.2 KB	255 B
145	aa/cfd0ef	4097627	minimap_pipeline:output_results (70)	COMPLETED	0	2024-10-12 16:41:06.650	347ms	6ms	87.8%	0	0	71.2 KB	255 B
