"ID"	"study_day"	"subject"	"diet_name"	"total_mg"	"total_kcal"	"total_mg_dry"	"probiotic"	"fiber"	"steroid"	"antibiotic"	"antidiarrheal"	"bristol_mean"	"holding"	"pair_access"	"warb_status"	"keeper_note"	"Subj_Certainty"	"Sex"	"subject_age"	"CollectionDate"	"protein_fed"	"fat_fed"	"CHO_fed"	"mineral_fed"
"culi_125"	125	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	2	"old"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-02-27	4826.53571	1618.96429	2005.1413	1816.25337
"culi_126"	126	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	2	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-02-28	4826.53571	1618.96429	2005.1413	1816.25337
"culi_127"	127	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	2	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-02-29	4826.53571	1618.96429	2005.1413	1816.25337
"culi_128"	128	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	2	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-03-01	4826.53571	1618.96429	2005.1413	1816.25337
"culi_129"	129	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	2	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-03-02	4826.53571	1618.96429	2005.1413	1816.25337
"culi_133"	133	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	3.33333333333333	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-03-06	4826.53571	1618.96429	2005.1413	1816.25337
"culi_134"	134	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	3	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-03-07	4826.53571	1618.96429	2005.1413	1816.25337
"culi_135"	135	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	4.5	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-03-08	4826.53571	1618.96429	2005.1413	1816.25337
"culi_136"	136	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	4.5	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-03-09	4826.53571	1618.96429	2005.1413	1816.25337
"culi_137"	137	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	4.5	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-03-10	4826.53571	1618.96429	2005.1413	1816.25337
"culi_138"	138	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	4	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-03-11	4826.53571	1618.96429	2005.1413	1816.25337
"culi_139"	139	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	3	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-03-12	4826.53571	1618.96429	2005.1413	1816.25337
"culi_140"	140	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	5	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-03-13	4826.53571	1618.96429	2005.1413	1816.25337
"culi_141"	141	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	3	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-03-14	4826.53571	1618.96429	2005.1413	1816.25337
"culi_142"	142	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	4.5	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-03-15	4826.53571	1618.96429	2005.1413	1816.25337
"culi_143"	143	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	5.5	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-03-16	4826.53571	1618.96429	2005.1413	1816.25337
"culi_144"	144	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	3	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-03-17	4826.53571	1618.96429	2005.1413	1816.25337
"culi_145"	145	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	4	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-03-18	4826.53571	1618.96429	2005.1413	1816.25337
"culi_146"	146	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	5	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-03-19	4826.53571	1618.96429	2005.1413	1816.25337
"culi_147"	147	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	5	"new"	"n"	"anestrus"	NA	"yes"	"M"	11	2024-03-20	4826.53571	1618.96429	2005.1413	1816.25337
"culi_148"	148	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	4	"new"	"n"	"estrus"	"repro: Culi whistling and actively attempting to get to Warble"	"yes"	"M"	11	2024-03-21	4826.53571	1618.96429	2005.1413	1816.25337
"culi_150"	150	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	5.5	"new"	"n"	"estrus"	NA	"yes"	"M"	11	2024-03-23	4826.53571	1618.96429	2005.1413	1816.25337
"culi_151"	151	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	4.5	"new"	"n"	"estrus"	NA	"yes"	"M"	11	2024-03-24	4826.53571	1618.96429	2005.1413	1816.25337
"culi_152"	152	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	5	"new"	"n"	"estrus"	NA	"yes"	"M"	11	2024-03-25	4826.53571	1618.96429	2005.1413	1816.25337
"culi_153"	153	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	3	"new"	"n"	"estrus"	NA	"yes"	"M"	11	2024-03-26	4826.53571	1618.96429	2005.1413	1816.25337
"culi_154"	154	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	4.5	"new"	"n"	"estrus"	NA	"yes"	"M"	11	2024-03-27	4826.53571	1618.96429	2005.1413	1816.25337
"culi_156"	156	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	3	"new"	"n"	"estrus"	NA	"yes"	"M"	11	2024-03-29	4826.53571	1618.96429	2005.1413	1816.25337
"culi_157"	157	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	3	"new"	"n"	"estrus"	NA	"yes"	"M"	11	2024-03-30	4826.53571	1618.96429	2005.1413	1816.25337
"culi_159"	159	"culi"	"oatgel"	60342.85714	90	29904.58333	10	0	0.2	0	0	4.5	"new"	"n"	"estrus"	NA	"yes"	"M"	11	2024-04-01	4826.53571	1618.96429	2005.1413	1816.25337
