"ID"	"C1"	"C2"	"C3"	"C4"	"C6"	"C7"	"C8"	"C10"	"C29"	"C30"	"C38"	"C39"	"C42"	"C43"	"C46"	"C48"	"C51"	"C52"	"C55"	"C59"	"C61"	"C65"	"C68"	"C74"	"C75"	"C77"	"C82"	"C86"	"C87"	"C88"	"C89"	"C90"	"C91"	"C92"	"C95"	"C99"	"C103"	"C105"	"C106"	"C107"	"C108"	"C111"	"C113"	"C114"	"C116"	"C117"	"C118"	"C119"	"C120"	"C121"	"C123"	"C125"	"C128"	"C129"	"C137"	"C141"	"C142"	"C143"	"C144"	"C151"	"C152"	"C154"	"C156"	"C157"	"C159"	"C174"	"C177"	"C178"	"C200"	"C201"	"C416"
"njc91"	2.13	1.61	1.44	1.12	2.12	4.05	2.42	4.55	5.19	5.2	7.49	5.54	6.62	6.71	5.32	5.24	9.49	3.87	5.11	5.27	2.94	2.79	3.43	1.35	6.86	1.88	2.18	11.83	1.2	4.78	4.12	2.87	2.47	5.15	4.57	2.11	3.23	1.93	4.03	2.13	5.57	2.53	3.57	10.83	2.36	2.83	4.31	2.82	5.51	1.72	2.08	1.31	3.43	3.35	0.43	1.63	4.72	12.23	5.19	3.7	6.57	1.92	1.13	1.63	6.04	2.81	3.37	1.23	4.19	3.82	3.14
"njc92"	0.16	0.03	0.01	0	0.03	0.06	0.04	0	0.01	0.06	0.09	0.1	0.03	0.03	0.03	0.03	0.04	0.01	0.04	0	0.04	0.06	0.01	0.07	0.01	0.03	0.07	0.01	0	0.03	0.03	0.1	0.01	0	0.04	0.01	0	0.01	0	0.04	0	0	0	0.09	0.01	0.01	0.01	0	0.03	0.03	0.01	0	0.01	0.04	0	0.01	0.28	0.18	0	0.01	0.01	0	0.06	0.03	0	0	0.03	0	0	0	0
"njc93"	0.1	0.03	0.09	0.03	0	0.01	0.03	0	0	0.06	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.12	0.01	0.12	0.04	0.13	0.01	0.09	0.07	0	0.04	0.01	0.03	0.06	0.01	0.07	0.01	0.1	0.35	0.04	0.15	0.1	0.06	0.03	0.01	0	0.03	0.45	0.01	0.33	0	0	0	0.77	0.13	0	0	0.04	0	0	0	0	0	0	0.22
"njc94"	0.01	0	0	0	0	0	0	0	0.03	0	0	0.01	0.01	0.13	0.03	0.12	0.19	0.01	0.01	0.09	0	0	0	0	0.03	0.01	0	0.06	0	0.06	0.12	0.01	0.04	0.16	0.03	0.01	0	0.01	0.09	0	0	0.06	0.03	0.01	0.01	0	0.01	0.03	0.06	0.04	0.01	0	0	0.01	0	0	0.21	0.38	0	0.03	0.03	0.11	0.01	0	0.06	0	0	0	0	0	0
"njc95"	0	0	0	0	0	0	0.01	0	0.01	0	0.01	0	0	0	0	0.01	0.03	0	0	0.03	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.77	0	0	0	0	0	0	0	0	0	0	0.03	0.59	0
"njc96"	0.13	0	0	0	0	0	0.01	0	0.03	0	0.06	0.09	0.01	0.03	0.01	0.01	0.04	0	0.03	0.03	0.04	0.01	0.01	0.03	0.01	0.03	0.01	0.01	0	0.01	0	0.04	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0.01	0	0.01	0.21	0.92	0	0	0	0	0	0	0	0	0	0	0.03	0.59	0
"njc97"	9.49	14.21	12.11	14.88	24.4	20.48	13.25	14.59	19	35.59	24.79	23.31	16.56	18.58	25.92	18.19	23.69	22.57	22.88	18.64	29.4	21.53	24.09	12.34	37.53	14.36	22.95	38.4	13.4	32.32	31.06	32.67	32.55	24.53	24.23	16.8	25.83	14.03	10.53	16.94	20.76	23.76	15.12	17.14	20.21	12.48	15.64	16.54	22.88	24.38	12.66	8.72	17.03	14.32	27.79	25.73	8.64	14.27	18.83	24.63	17.48	28.35	26.18	17.15	23.18	23.41	22.88	9.28	18.82	11.91	14.17
"njc98"	0.1	0.04	0.01	0.01	0.04	0.1	0.19	0.03	0.03	0.04	0.12	0.06	0.06	0.04	0.03	0.01	0.04	0.01	0.06	0.01	0	0.03	0.01	0.07	0	0.03	0.04	0.01	0.01	0.03	0.06	0.06	0.09	0.04	0.01	0.07	0.07	0.06	0.1	0.01	0.06	0.06	0.06	0.03	0.07	0.07	0.03	0.07	0.03	0.03	0.1	0.06	0	0.09	0.03	0.01	0.03	0.05	0.06	0.07	0.06	0	0.01	0.03	0.04	0.09	0.07	0.04	0	0	0.07
"njc99"	0.03	0.03	0.01	0	0.03	0.06	0.04	0	0	0.06	0.04	0.01	0.01	0	0.01	0.03	0.03	0.01	0.01	0	0	0.04	0	0.04	0	0	0.06	0.01	0	0.01	0.03	0.06	0.01	0	0.03	0.01	0	0.01	0	0.04	0	0	0	0.09	0.01	0.01	0.01	0	0.03	0	0.01	0	0.01	0.03	0	0.01	0.07	0.03	0	0.01	0.01	0	0.06	0.03	0	0	0.03	0	0	0	0
"njc100"	0	0	0	0	0	0	0.01	0	0.01	0	0.01	0	0	0	0	0.01	0.03	0	0	0.03	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	1.51	0	0	0	0	0	0	0	0	0	0	0.03	0.59	0
